date	2016	2017	2018	2019	2020
2020-01-01	2658486	3109734	3999955	3338366	3586942
2020-01-02	3188437	3868844	4306523	3454958	3534903
2020-01-03	3243298	3734234	4005694	3420861	3483584
2020-01-04	3440416	4025476	3703190	3221445	3783583
2020-01-05	4046238	4437453	3424812	3802748	4026342
2020-01-06	3742249	3383787	3536953	4215202	3912115
2020-01-07	3792645	3829283	4156871	3749095	4103944
2020-01-08	3234520	4115367	3808387	3700641	4191289
2020-01-09	3161891	3702917	3807603	3476279	3830261
2020-01-10	3659301	3441491	3567335	3405779	3507858
2020-01-11	3698834	3342062	3584265	3108180	3652307
2020-01-12	3701751	3242485	3203845	3458051	4167384
2020-01-13	3546367	2978344	3307696	3724283	3898684
2020-01-14	3567884	2876800	3694852	3721926	3933682
2020-01-15	3061452	3564914	3605806	3671241	3842813
2020-01-16	2967644	3497567	3740017	3691792	3554594
2020-01-17	3467820	3450424	3717217	3601633	3245418
2020-01-18	3607893	3787971	3474509	3302455	3154340
2020-01-19	3504141	3341885	3117339	3349517	3635235
2020-01-20	3457671	3285020	3251204	3822069	3680277
2020-01-21	3620616	3080081	3625083	3799121	4034084
2020-01-22	3118961	3465604	3671970	3605314	3595885
2020-01-23	3010567	3750593	3434698	3528356	3525086
2020-01-24	3573056	3639788	3428181	3418361	3238113
2020-01-25	3949586	3447803	3574714	3132644	3380702
2020-01-26	3585441	3269894	3045903	3233580	3447911
2020-01-27	3200468	2897255	3229547	3708156	3553636
2020-01-28	3141260	2855505	3491752	3533458	3501701
2020-01-29	2884498	3684238	3582777	3329022	3325258
2020-01-30	2747239	3410882	3414166	3244833	2902630
2020-01-31	3417997	3470928	3157010	2976465	3042377
2020-02-01	3384993	3403322	2997471	2953207	2921890
2020-02-02	3365042	2987176	2955548	3149733	3383668
2020-02-03	3200460	2729154	3134500	3516937	3377859
2020-02-04	3123679	2834820	3348854	3331839	3343778
2020-02-05	2901008	4185561	3354709	3388647	3417566
2020-02-06	2955021	3388791	3318261	3323535	3104771
2020-02-07	3095993	3324996	3334338	3164113	3044774
2020-02-08	3244351	3825765	3274587	3196412	2954616
2020-02-09	3114651	3204223	3167523	3146158	3124158
2020-02-10	3424201	2904062	3258515	3553011	3119605
2020-02-11	3238703	3394945	3523924	3421782	3143699
2020-02-12	3052184	3528979	3574953	3475130	3268316
2020-02-13	2979607	3617115	3342329	3178896	3084346
2020-02-14	3124482	3201327	3239559	3141309	3308823
2020-02-15	3210340	3425874	3287083	3205527	3339449
2020-02-16	3136438	3533674	3102981	3147348	3416582
2020-02-17	3418094	2846074	3138280	3397559	3334728
2020-02-18	3775114	3441622	3432308	3388179	3290251
2020-02-19	3640150	3297257	3511002	3486994	3352310
2020-02-20	2950952	3770856	3364857	3509513	3351598
2020-02-21	3586675	3236665	3457341	3373236	3005215
2020-02-22	3199013	3544511	3270231	3113850	2828518
2020-02-23	4004223	3311218	3026352	3000458	3374391
2020-02-24	3520321	2868781	3190188	3355627	3262645
2020-02-25	3496995	3114272	3669477	3553331	3525103
2020-02-26	2961847	3653095	3322326	3599789	3325879
2020-02-27	2996989	3237031	3654646	3554970	3669012
2020-02-28	3479181	3536149	3233726	3634006	2884986
2020-02-29	3813372	0	0	0	2969009
2020-03-01	3529671	3144115	3265465	3464153	3431762
2020-03-02	3237750	3507130	3272462	3513231	3209267
2020-03-03	2966072	2907767	3234046	3582563	3355407
2020-03-04	3283316	2674346	3518142	3434676	3213740
2020-03-05	3573427	3393374	3487050	3386902	3072545
2020-03-06	3216846	3290793	3583573	3370709	3120213
2020-03-07	3058935	3540378	3575239	2911523	3143526
2020-03-08	3533565	3299065	3369463	2881503	3323810
2020-03-09	3327909	2986239	3149416	2921403	3362262
2020-03-10	3116494	2992914	3109293	3755505	3138820
2020-03-11	2516039	2615724	3288366	3199722	3424788
2020-03-12	2868981	3350670	3362318	3281612	3452606
2020-03-13	3271762	3385229	3264016	3169983	3636833
2020-03-14	3256722	3652408	3504748	3366102	3298832
2020-03-15	3140005	3454600	3480763	2751717	3655430
2020-03-16	3221452	2866839	3136225	2999301	3885700
2020-03-17	3119040	2989279	3512858	3310923	4097978
2020-03-18	2822137	2844467	3589362	3480152	4183711
2020-03-19	3191497	3371409	3583863	3352769	4161953
2020-03-20	3309841	3264018	3482776	3312314	4314650
2020-03-21	3196245	3269676	3227192	3077341	4399454
2020-03-22	3121536	3701765	3242572	2920736	4556510
2020-03-23	3023820	3542573	2921961	2973310	4573651
2020-03-24	2762937	2967842	2977204	3450972	4794764
2020-03-25	2732077	3266699	3349437	3569805	4710333
2020-03-26	2695880	3417622	3245367	3660138	4714755
2020-03-27	2721697	3590138	3206702	3362570	4388506
2020-03-28	3120826	3468100	2816452	3431789	3910837
2020-03-29	3237920	3243771	2726854	2964757	4327831
2020-03-30	3425907	3441565	2762991	2674592	4830343
2020-03-31	3198639	3159072	2875541	3155026	5007249
2020-04-01	3050552	2658744	3111861	3357345	4763990
2020-04-02	2643605	3204046	3217247	3470151	4742545
2020-04-03	2803528	3134300	3095057	3310936	4576681
2020-04-04	3118832	3496955	3145542	3050470	3877336
2020-04-05	3314619	3439712	3034858	2962065	4166142
2020-04-06	3472447	4616995	2837747	3036850	4648101
2020-04-07	3208845	3730397	2576214	3157726	5072959
2020-04-08	3024767	2672034	3113570	3317581	4412653
2020-04-09	3252608	3375966	2940787	3210931	3720671
2020-04-10	3537199	3224196	3071857	3102500	3892869
2020-04-11	3540230	3173171	2962105	3063006	3454640
2020-04-12	3252359	3000393	2868760	2974208	3757674
2020-04-13	3165758	2676420	2800048	2971361	4410228
2020-04-14	3219659	2855667	2531616	3205425	4960573
2020-04-15	2918790	2895834	2946318	3276542	4684477
2020-04-16	2897079	2926887	3097912	3106534	4439751
2020-04-17	3049980	3544425	3039349	2814984	4450352
2020-04-18	3333711	3254206	2973616	2580517	3766336
2020-04-19	3743441	3368014	2953655	2832450	4542970
2020-04-20	3342800	3214763	2769231	2689107	4611909
2020-04-21	3011612	2774186	2446671	2716980	4667356
2020-04-22	2744579	2770865	2920912	3176989	4544129
2020-04-23	2953549	3395893	3443565	3544196	4326226
2020-04-24	3224227	3252472	3060132	3181421	4354032
2020-04-25	3410617	3117313	2980932	3207676	3988911
2020-04-26	3368865	3427992	2935663	2901683	4389655
2020-04-27	3442135	3082312	2539096	2918407	4548816
2020-04-28	3091850	2745289	2341084	3444098	4513725
2020-04-29	2686638	2871902	2678937	3130691	4690941
2020-04-30	2461259	3191367	2665708	2704210	4233714
2020-05-01	2899230	3323954	3346906	3111061	3921505
2020-05-02	3245503	3120322	3516842	3099610	3902760
2020-05-03	3230890	3380752	3081342	3012186	4482292
2020-05-04	3243297	3227582	2972896	3055385	4504947
2020-05-05	3092627	2795691	2708056	3343480	4633651
2020-05-06	2797160	3026491	2918432	3410262	4399841
2020-05-07	2609267	3343286	2783261	3042999	4105261
2020-05-08	3056476	4082567	3004172	3370259	3693643
2020-05-09	3340417	3665534	3107855	3304569	3656088
2020-05-10	3575695	3349692	3470805	3205849	4292913
2020-05-11	3559673	3234591	3363425	3276048	4469111
2020-05-12	3473046	2897388	2909480	3655189	4493107
2020-05-13	3145676	3119388	3326089	3599844	4406209
2020-05-14	2986902	3608510	3407436	3684156	4253341
2020-05-15	3637626	3617773	3404510	3573402	4249898
2020-05-16	3729023	3401109	3613626	3609246	3349238
2020-05-17	3652476	3406579	3280340	3117826	3708198
2020-05-18	3754070	3327803	2959194	3114689	4130341
2020-05-19	3145284	2897231	3112347	3386432	4038969
2020-05-20	2835143	3284606	3577058	3745275	4186458
2020-05-21	2396717	3326128	3496010	4570274	3816289
2020-05-22	3022895	3661688	3665686	4168520	3776866
2020-05-23	3251781	3418889	3531479	3717401	4055566
2020-05-24	3457352	3547236	3034666	2987949	4301140
2020-05-25	3423291	3503545	2730636	2865880	4174609
2020-05-26	3140159	2758794	2666355	3558282	4082309
2020-05-27	2722200	2768782	3111845	3721822	4102982
2020-05-28	2609034	3266845	3643213	3602507	4160667
2020-05-29	3073081	3397659	3713538	3472066	3766842
2020-05-30	3197375	3420645	3778183	3450404	3503748
2020-05-31	3286007	3003860	3150162	2969538	4256924
2020-06-01	3258256	3107145	3118549	2976726	4069982
2020-06-02	3322262	2881003	2984942	3012883	4240106
2020-06-03	3066230	2491434	3282109	3064572	3958949
2020-06-04	2654580	3347477	3262039	3322319	4032821
2020-06-05	3130899	3166714	3250470	3510117	4203686
2020-06-06	3344896	3228496	3399683	3177510	3670007
2020-06-07	3102321	3243790	3197921	3045397	4192458
2020-06-08	3242966	3035947	2834255	2906712	4338364
2020-06-09	3141713	2579661	2804321	3015965	4242596
2020-06-10	2799177	2594649	3354161	3439019	4364730
2020-06-11	2551367	2918953	3221369	3379079	3889067
2020-06-12	3103159	3212039	3372692	3300152	3693852
2020-06-13	3542815	3472171	3622214	2888354	3409739
2020-06-14	3571133	3204376	3368020	2552724	3909265
2020-06-15	3690455	2600552	2741184	2390480	3886843
2020-06-16	3117878	2579270	2447344	2953657	3713616
2020-06-17	2558936	2470440	3015338	3114003	3680361
2020-06-18	2175292	2623844	3209271	2899469	3674771
2020-06-19	2909072	2647970	2874094	2750021	3661019
2020-06-20	2904606	2641507	2916922	3173480	3328600
2020-06-21	2869144	2471002	2572079	2752223	3504254
2020-06-22	2548706	2559602	2431867	2599583	3161030
2020-06-23	2384982	2412438	2478480	2792891	2909380
2020-06-24	2352776	2175950	3008077	2907279	3344906
2020-06-25	2105477	2259624	2864691	2608945	2878423
2020-06-26	2358103	2360229	2709870	2577147	2846763
2020-06-27	2553505	2883781	2613563	2560478	2580417
2020-06-28	2509504	2393903	2770758	2274077	2927785
2020-06-29	2401757	2509815	2549093	2350035	2877250
2020-06-30	2479790	2238334	2476319	2500595	2881432
2020-07-01	2186909	1937495	2691240	2337155	2737872
2020-07-02	2111385	2424047	2362577	2539453	3013397
2020-07-03	2247733	2239256	2576466	2572772	2734341
2020-07-04	2273170	2083327	2629102	2844069	2700125
2020-07-05	2289189	2233974	2666618	2482270	2906414
2020-07-06	2380447	2198525	2531659	2625771	3022537
2020-07-07	2352795	2347304	2402563	2624828	2991537
2020-07-08	2152615	2071063	2630167	2634115	2918526
2020-07-09	2175077	2535408	2865633	2812468	3167865
2020-07-10	2319851	2392043	2799418	2612612	3098955
2020-07-11	2257966	2810157	2529844	2450838	3168092
2020-07-12	2397074	2663249	2348142	2611672	3323597
2020-07-13	2400259	2307825	2468306	2909047	3195507
2020-07-14	2478251	2300549	2325270	2922805	3127761
2020-07-15	2230161	2439059	2710040	2519838	3158357
2020-07-16	2065816	2283745	3124219	2479201	3126116
2020-07-17	2534202	2323977	3036598	2569459	3206972
2020-07-18	2711460	2627373	2775128	2574157	3102672
2020-07-19	2379686	2283503	2770610	2565517	3194901
2020-07-20	2329100	2316310	2533932	2675887	3038700
2020-07-21	3311753	2340620	2200839	2821554	3182628
2020-07-22	8893885	2187905	2509454	2639640	2613150
2020-07-23	5234834	2754738	2475994	2463350	2588274
2020-07-24	4075393	2502891	2232833	2424884	2565115
2020-07-25	6100764	2390040	2497644	2444933	2690327
2020-07-26	6170245	2624639	2796525	2304309	3007733
2020-07-27	9752114	2434670	2423359	2540714	2784872
2020-07-28	8073622	2477305	2266863	2651182	2800960
2020-07-29	2396407	2282545	2375444	2677987	2524539
2020-07-30	2141890	2134447	2631407	2678972	2453084
2020-07-31	2524414	2466107	2560002	2653890	2457507
2020-08-01	2546524	2392377	3162613	2581489	2563349
2020-08-02	2473685	2397699	3011903	2439824	2705258
2020-08-03	2591451	2336580	2642725	2464340	2872271
2020-08-04	2420505	2181190	2728498	2529766	2776161
2020-08-05	2546037	2086385	2576786	2600905	2762079
2020-08-06	2135324	2173977	2702564	2726537	2530904
2020-08-07	2317242	2392948	2586901	2453286	2487314
2020-08-08	2450590	2725969	2701446	2437172	2377973
2020-08-09	2424519	2472805	2472292	2430847	2628450
2020-08-10	2760875	2418008	2475708	2575827	2669510
2020-08-11	2489905	2336886	2333640	2647278	2640898
2020-08-12	2447937	2317697	2555646	2700790	2626224
2020-08-13	2350960	2222845	2728317	2485824	2465775
2020-08-14	2355483	2385273	2755325	2397321	2654223
2020-08-15	2501852	2390612	2754131	2418193	2698542
2020-08-16	2280935	2432046	2539426	2368474	2638914
2020-08-17	2271918	2162447	2725500	2399839	2708244
2020-08-18	2200756	2378166	2634768	2589781	2775391
2020-08-19	2189685	2341505	2744230	2576580	2653219
2020-08-20	2131817	2226963	3038501	2601696	2549678
2020-08-21	2603901	2421930	2994740	2596952	2357647
2020-08-22	2552222	2308091	2998313	2536399	2479811
2020-08-23	2520249	2585260	2944082	2548007	2766280
2020-08-24	2667531	2243884	2772543	2595270	2563086
2020-08-25	2478587	2458131	2721692	2739359	2651955
2020-08-26	2391408	2046748	2956524	2586001	2641508
2020-08-27	2238034	2475636	2752662	2492629	2511245
2020-08-28	2590678	2510754	2584268	2542096	2634424
2020-08-29	2769708	2363801	2631326	2499193	2765759
2020-08-30	2628010	2225737	2780195	2535523	2941504
2020-08-31	2550405	2473326	2811201	2353849	2708292
2020-09-01	2578101	2608633	2840937	2687283	2838053
2020-09-02	2620799	2516935	2735224	2638639	2523239
2020-09-03	2573051	2500661	2761812	2450172	2584302
2020-09-04	2677641	2282357	2896103	2399803	2625997
2020-09-05	2851440	2271408	2795240	2470105	2505176
2020-09-06	2994147	2897485	2760416	2322109	2889934
2020-09-07	2900961	2827801	2689784	2684416	2942285
2020-09-08	2708171	2460470	2753248	2716646	2796058
2020-09-09	2502656	2254619	2752928	2709847	2888614
2020-09-10	2643872	2698705	2798772	2575670	2745311
2020-09-11	3052880	2741153	3007084	2666305	2613562
2020-09-12	2871934	2753249	3003804	2699581	2719395
2020-09-13	2894577	2529005	2930200	2562501	2949667
2020-09-14	2870824	2954453	2830423	2348899	3006555
2020-09-15	2672433	2345103	2501645	2642846	3020197
2020-09-16	2620706	2373966	2704121	2724045	2939378
2020-09-17	2954066	2699817	2747675	2882807	2819205
2020-09-18	3202328	2664916	2822612	2678046	2630357
2020-09-19	3013164	2835040	2932528	2707676	2533596
2020-09-20	3052087	2601114	2760177	2477891	2841560
2020-09-21	2973881	2502646	2653044	2505520	2979237
2020-09-22	2873733	2303553	2865020	2846967	2715591
2020-09-23	2704599	2442450	3285781	3011363	2843337
2020-09-24	2521247	2744322	3243379	3041159	3043044
2020-09-25	2954388	2882111	2996585	2908091	2733794
2020-09-26	2972840	2627999	2886428	2835702	2973588
2020-09-27	2869757	2319253	2602088	2603544	3640583
2020-09-28	3058658	2271585	2603961	2892392	3547162
2020-09-29	2975922	2239514	2733135	2935734	3346136
2020-09-30	2600449	2312415	3141507	3043929	3072297
2020-10-01	2562836	2775147	3454998	2904645	2876640
2020-10-02	3144920	2625388	3060902	3349536	2816517
2020-10-03	2976506	3020442	2934658	3013141	2896715
2020-10-04	3039129	3006375	2813694	2754891	3181460
2020-10-05	3216207	2891800	2768997	2854619	3718244
2020-10-06	2739792	2851356	2775252	2987056	3379689
2020-10-07	2680460	2759068	3115702	2994163	3477484
2020-10-08	2806165	3228560	3186273	3047323	3345211
2020-10-09	3141615	3053691	3178883	3166279	3029618
2020-10-10	3197086	3195390	3162540	3030097	3047268
2020-10-11	3131320	2841370	3039985	3039028	3322831
2020-10-12	3133557	2749775	2670888	2777334	3788856
2020-10-13	3131318	2470280	2702952	3081573	3780972
2020-10-14	2658950	2261859	3261170	3216935	4239973
2020-10-15	2810654	2585718	3226142	3109370	4083831
2020-10-16	3083021	2867173	3252645	3124423	3886978
2020-10-17	3279141	2753670	3219892	2973779	3375747
2020-10-18	3343895	2792503	3402850	2787800	3549610
2020-10-19	3344479	3141868	2862508	2752642	4154337
2020-10-20	3178433	2985074	2772413	3003057	4079626
2020-10-21	2897433	3415826	3158844	3175615	3967095
2020-10-22	2721176	3147901	3235127	3225189	4021753
2020-10-23	3028906	3388832	3496344	3136930	3837385
2020-10-24	3024199	3353580	3383328	3057791	3285908
2020-10-25	2918310	2981411	3334291	2813639	3385492
2020-10-26	2683561	3066090	3147937	3441058	3263564
2020-10-27	2522991	2911614	2966654	3063661	3252959
2020-10-28	2692111	2846164	3368697	3354766	3495192
2020-10-29	2708843	3097070	3035533	3123523	3331946
2020-10-30	3256692	3266160	3175912	3078759	3371947
2020-10-31	3187723	3141473	3158635	2984275	3540548
2020-11-01	3308380	3211274	3119570	3240274	3949141
2020-11-02	3439950	3100589	3074865	3085525	4204832
2020-11-03	3369467	2775087	3119353	3419189	4400394
