date	2017	2018	2019	2020
2020-01-01	2285584	3062661	2437416	2725376
2020-01-02	2831320	3409387	2584507	2587558
2020-01-03	2807273	2959980	2483793	2501301
2020-01-04	2863276	2720977	2339206	2783929
2020-01-05	3258482	2508048	2686137	3111024
2020-01-06	2452135	2545294	3129852	2905572
2020-01-07	2826476	3130860	2746603	3060174
2020-01-08	3143682	2834677	2745850	3166382
2020-01-09	2964690	2834319	2698833	2940480
2020-01-10	2886288	2696199	2637302	2595152
2020-01-11	2738534	2725353	2338126	2711772
2020-01-12	2752580	2380758	2497823	3235964
2020-01-13	2391407	2438318	2942705	3029569
2020-01-14	2374010	2849748	2802630	2993789
2020-01-15	3069705	2809369	2790359	2974455
2020-01-16	2950919	2771773	2786637	2898824
2020-01-17	2886652	2711711	2676305	2571680
2020-01-18	2796367	2589139	2338977	2600264
2020-01-19	2667049	2242673	2237704	3016778
2020-01-20	2447076	2228505	2737896	3008642
2020-01-21	2290417	2755260	2690318	3256353
2020-01-22	2883400	2703034	2697225	2801461
2020-01-23	2822043	2552530	2592389	2744589
2020-01-24	2826964	2517053	2486961	2534189
2020-01-25	2635857	2529095	2268500	2586830
2020-01-26	2527820	2203863	2405012	2685688
2020-01-27	2283793	2311799	2727663	2774917
2020-01-28	2282330	2661042	2585053	2644641
2020-01-29	2857955	2545668	2513521	2447108
2020-01-30	2630430	2481049	2334632	2244549
2020-01-31	2519334	2313230	2081223	2152095
2020-02-01	2421918	2248274	2071447	2194564
2020-02-02	2279856	2080682	2287032	2570805
2020-02-03	2110681	2206682	2489391	2542927
2020-02-04	2210535	2477215	2387816	2526230
2020-02-05	2743471	2527618	2392091	2473615
2020-02-06	2705689	2492578	2383858	2392957
2020-02-07	2626684	2508692	2351808	2163545
2020-02-08	2643757	2510315	2202670	2105265
2020-02-09	2544801	2394262	2187928	2419576
2020-02-10	2237342	2361422	2520052	2459206
2020-02-11	2236520	2723782	2367850	2388941
2020-02-12	2775875	2597239	2405683	2413381
2020-02-13	2590263	2566345	2334795	2371095
2020-02-14	2518608	2451866	2241173	2414981
2020-02-15	2469649	2410012	2053081	2642801
2020-02-16	2442510	2245673	1975788	2528475
2020-02-17	2257873	2322922	2301751	2440815
2020-02-18	2292857	2579511	2321106	2494037
2020-02-19	2684741	2518663	2352817	2532454
2020-02-20	2661016	2491521	2493600	2459159
2020-02-21	2564656	2485905	2360300	2270753
2020-02-22	2706851	2418344	2164113	2155197
2020-02-23	2415209	2217426	2050670	2624187
2020-02-24	2186179	2310835	2429508	2586373
2020-02-25	2087933	2871295	2475396	2667699
2020-02-26	2704666	2590908	2555243	2696029
2020-02-27	2428735	2636233	2510314	3050814
2020-02-28	2491232	2422423	2519157	2326051
2020-02-29	0	0	0	2356857
2020-03-01	2514800	2329747	2473754	2638459
2020-03-02	2615336	2213312	2502264	2530446
2020-03-03	2139518	2301158	2535695	2639459
2020-03-04	1952683	2577162	2418237	2526570
2020-03-05	2585898	2521792	2482743	2484677
2020-03-06	2531000	2530890	2397380	2366405
2020-03-07	2533189	2478949	2239103	2434369
2020-03-08	2418303	2353122	2093389	2548311
2020-03-09	2320573	2093572	2180862	2587290
2020-03-10	2134639	2096523	2787225	2253203
2020-03-11	2008046	2344445	2371812	2520771
2020-03-12	2463354	2474726	2459256	2668109
2020-03-13	2367463	2380877	2462469	2698034
2020-03-14	2341619	2510885	2484413	2554473
2020-03-15	2327758	2380621	2163500	2653822
2020-03-16	2202377	2179127	2195511	3000538
2020-03-17	2002097	2316562	2403541	3280680
2020-03-18	2141816	2726313	2576425	3247376
2020-03-19	2654261	2598262	2599256	3385107
2020-03-20	2534213	2561909	2439997	3387406
2020-03-21	2538027	2453242	2296738	3456553
2020-03-22	2576507	2355850	1943993	3585673
2020-03-23	2422563	2051505	1926764	3760442
2020-03-24	2180416	2019152	2514954	3815928
2020-03-25	2121800	2374320	2562412	3829818
2020-03-26	2532417	2373667	2664526	3891762
2020-03-27	2524511	2297227	2566638	3576278
2020-03-28	2337662	1992945	2519250	3064546
2020-03-29	2385329	1917877	2113374	3550824
2020-03-30	2385563	1953846	1931171	3976359
2020-03-31	2055130	2054598	2268158	4169244
2020-04-01	1733687	2176363	2497213	3847010
2020-04-02	2163590	2392094	2475744	3676766
2020-04-03	2412370	2223686	2385964	3751064
2020-04-04	2427768	2237488	2274503	3070543
2020-04-05	2413819	2195908	2045422	3193868
2020-04-06	2389069	1955340	2101553	3585517
2020-04-07	2132020	1701492	2352289	3904887
2020-04-08	1959205	2211431	2428156	3315940
2020-04-09	2344730	2187587	2367221	2857273
2020-04-10	2275277	2191462	2287685	2935516
2020-04-11	2335159	2048002	2321167	2651226
2020-04-12	2053951	1984887	2141518	2815106
2020-04-13	1912488	1912689	2209241	3450205
2020-04-14	1964702	1753592	2429226	3810103
2020-04-15	2005907	2143801	2371221	3620953
2020-04-16	2191833	2346961	2302192	3373674
2020-04-17	2529258	2244127	2044256	3293926
2020-04-18	2681081	2133023	1802262	2743156
2020-04-19	2529751	2056345	1839255	3434628
2020-04-20	2431808	1842064	1820662	3632131
2020-04-21	2101325	1666149	2064248	3578932
2020-04-22	2165967	2070254	2290497	3249880
2020-04-23	2721982	2369383	2653107	3133608
2020-04-24	2480330	2268804	2391125	3076878
2020-04-25	2522127	2185829	2202079	2811099
2020-04-26	2616206	2189568	2036922	3125020
2020-04-27	2444228	1797411	2131045	3335593
2020-04-28	2192679	1593328	2542696	3271668
2020-04-29	2015948	1884414	2559800	3519137
2020-04-30	2118403	1848313	2154461	3066891
2020-05-01	2452302	2161948	2404554	2744753
2020-05-02	2603264	2257087	2362926	2725855
2020-05-03	2512596	2185440	2265434	3232979
2020-05-04	2447488	1915906	2372028	3266427
2020-05-05	2173176	1736325	2721322	3358875
2020-05-06	2183933	1990922	2629324	3248053
2020-05-07	2649510	1976379	2420366	2928559
2020-05-08	3025806	2419977	2647917	2544226
2020-05-09	2801002	2393855	2636690	2517294
2020-05-10	2581216	2413369	2456876	3075269
2020-05-11	2403522	2114693	2460236	3334817
2020-05-12	2232566	1925421	2821895	3247239
2020-05-13	2063978	2507219	2707144	3191191
2020-05-14	2622188	2591915	2792412	3159277
2020-05-15	2635174	2609481	2754967	3073882
2020-05-16	2531024	2605637	2722516	2354616
2020-05-17	2499296	2585870	2381760	2781992
2020-05-18	2360143	2168279	2121675	2981048
2020-05-19	2039330	2372265	2563601	2971921
2020-05-20	2145391	2622490	2851315	3045577
2020-05-21	2588367	2592252	3616284	2934314
2020-05-22	2651054	2553995	3420284	2786215
2020-05-23	2588630	2607232	2667095	3010162
2020-05-24	2576935	2372452	2169808	3135397
2020-05-25	2643459	2017625	2081411	3244887
2020-05-26	1998476	1867005	2631101	3092970
2020-05-27	1767586	2245768	2728204	2973269
2020-05-28	2380678	2430930	2882797	3066126
2020-05-29	2545125	2438479	2701458	2734231
2020-05-30	2544788	2397200	2403842	2419368
2020-05-31	2389770	2193645	2008807	3193940
2020-06-01	2190436	2064853	1840942	2831462
2020-06-02	1929609	1901043	2202105	2917501
2020-06-03	1716321	2401340	2363367	2768961
2020-06-04	2504348	2456164	2377606	2877731
2020-06-05	2506482	2415334	2392695	3006254
2020-06-06	2502402	2378451	2395678	2404554
2020-06-07	2470405	2351539	2134622	2847416
2020-06-08	2283621	1985838	1951405	3104314
2020-06-09	1894763	1846079	2337918	3051485
2020-06-10	1839757	2391137	2513038	3155779
2020-06-11	2156202	2422057	2387488	2761583
2020-06-12	2498219	2368781	2281366	2449595
2020-06-13	2365203	2412768	2222785	2070763
2020-06-14	2772955	2348933	1850278	2805588
2020-06-15	2106316	1868427	1708051	2725840
2020-06-16	1912544	1655751	2218162	2569561
2020-06-17	1749599	2137576	2216538	2438244
2020-06-18	2133545	2183238	2128109	2456664
2020-06-19	2074744	2044509	2020202	2287069
2020-06-20	2020883	1942715	1940791	2231342
2020-06-21	2009656	1862266	1750381	2330843
2020-06-22	1791127	1787755	1694792	2086126
2020-06-23	1627344	1702300	1834133	1882020
2020-06-24	1518819	1960795	1819050	1964625
2020-06-25	1763560	1840083	1759925	1757591
2020-06-26	1813792	1750895	1658495	1784907
2020-06-27	1806694	1753482	1628694	1625148
2020-06-28	1755871	1763063	1580147	1853280
2020-06-29	1661011	1547250	1507659	1972280
2020-06-30	1519152	1598366	1663856	1783431
2020-07-01	1455895	1810235	1731226	1656387
2020-07-02	1728648	1659554	1700039	1787495
2020-07-03	1622860	1641593	1709804	1736357
2020-07-04	1620287	1633706	2029851	1574470
2020-07-05	1608949	1640154	1736632	1790782
2020-07-06	1675632	1763871	1726020	1993269
2020-07-07	1625009	1621190	1960161	1840251
2020-07-08	1531511	1774259	1857967	1835219
2020-07-09	1691241	1709460	1816823	1714557
2020-07-10	1708000	1819171	1754136	1617033
2020-07-11	1814032	1837880	1748374	1972497
2020-07-12	1764873	1749338	1881985	1867957
2020-07-13	1631250	1661016	1994461	1801030
2020-07-14	1596594	1533631	2065509	1762691
2020-07-15	1579092	1765780	1829213	1788843
2020-07-16	1662645	1749790	1770619	1826813
2020-07-17	1675397	1779287	1718611	1803412
2020-07-18	1613566	1779622	1728510	1913744
2020-07-19	1599257	1647820	1770178	1936324
2020-07-20	1673934	1597626	1680302	1882471
2020-07-21	1649296	1505922	1949871	1883655
2020-07-22	1533850	1810723	1811347	1718483
2020-07-23	1822809	1712304	1761967	1723330
2020-07-24	1863019	1653682	1713606	1703891
2020-07-25	1765903	1699549	1706436	1663879
2020-07-26	1773354	1719476	1654968	1910248
2020-07-27	1738746	1641076	1835048	1774746
2020-07-28	1602900	1529931	1981955	1743000
2020-07-29	1430890	1671843	1903687	1725733
2020-07-30	1548897	1647593	1885665	1693227
2020-07-31	1598093	1616055	1859613	1653067
2020-08-01	1591552	1611765	1836557	1610935
2020-08-02	1652208	1653154	1713769	1875775
2020-08-03	1661543	1575079	1734712	1962331
2020-08-04	1623468	1556837	1834476	2047389
2020-08-05	1476350	1760322	1841544	1868806
2020-08-06	1777871	1722754	1913643	1723201
2020-08-07	1714096	1669182	1820908	1656717
2020-08-08	1699757	1729265	1815080	1592377
2020-08-09	1749788	1650942	1712112	1760178
