date	views
2018-01-01	3999955
2018-01-02	4306523
2018-01-03	4005694
2018-01-04	3703190
2018-01-05	3424812
2018-01-06	3536953
2018-01-07	4156871
2018-01-08	3808387
2018-01-09	3807603
2018-01-10	3567335
2018-01-11	3584265
2018-01-12	3203845
2018-01-13	3307696
2018-01-14	3694852
2018-01-15	3605806
2018-01-16	3740017
2018-01-17	3717217
2018-01-18	3474509
2018-01-19	3117339
2018-01-20	3251204
2018-01-21	3625083
2018-01-22	3671970
2018-01-23	3434698
2018-01-24	3428181
2018-01-25	3574714
2018-01-26	3045903
2018-01-27	3229547
2018-01-28	3491752
2018-01-29	3582777
2018-01-30	3414166
2018-01-31	3157010
2018-02-01	2997471
2018-02-02	2955548
2018-02-03	3134500
2018-02-04	3348854
2018-02-05	3354709
2018-02-06	3318261
2018-02-07	3334338
2018-02-08	3274587
2018-02-09	3167523
2018-02-10	3258515
2018-02-11	3523924
2018-02-12	3574953
2018-02-13	3342329
2018-02-14	3239559
2018-02-15	3287083
2018-02-16	3102981
2018-02-17	3138280
2018-02-18	3432308
2018-02-19	3511002
2018-02-20	3364857
2018-02-21	3457341
2018-02-22	3270231
2018-02-23	3026352
2018-02-24	3190188
2018-02-25	3669477
2018-02-26	3322326
2018-02-27	3654646
2018-02-28	3233726
2018-03-01	3265465
2018-03-02	3272462
2018-03-03	3234046
2018-03-04	3518142
2018-03-05	3487050
2018-03-06	3583573
2018-03-07	3575239
2018-03-08	3369463
2018-03-09	3149416
2018-03-10	3109293
2018-03-11	3288366
2018-03-12	3362318
2018-03-13	3264016
2018-03-14	3504748
2018-03-15	3480763
2018-03-16	3136225
2018-03-17	3512858
2018-03-18	3589362
2018-03-19	3583863
2018-03-20	3482776
2018-03-21	3227192
2018-03-22	3242572
2018-03-23	2921961
2018-03-24	2977204
2018-03-25	3349437
2018-03-26	3245367
2018-03-27	3206702
2018-03-28	2816452
2018-03-29	2726854
2018-03-30	2762991
2018-03-31	2875541
2018-04-01	3111861
2018-04-02	3217247
2018-04-03	3095057
2018-04-04	3145542
2018-04-05	3034858
2018-04-06	2837747
2018-04-07	2576214
2018-04-08	3113570
2018-04-09	2940787
2018-04-10	3071857
2018-04-11	2962105
2018-04-12	2868760
2018-04-13	2800048
2018-04-14	2531616
2018-04-15	2946318
2018-04-16	3097912
2018-04-17	3039349
2018-04-18	2973616
2018-04-19	2953655
2018-04-20	2769231
2018-04-21	2446671
2018-04-22	2920912
2018-04-23	3443565
2018-04-24	3060132
2018-04-25	2980932
2018-04-26	2935663
2018-04-27	2539096
2018-04-28	2341084
2018-04-29	2678937
2018-04-30	2665708
2018-05-01	3346906
2018-05-02	3516842
2018-05-03	3081342
2018-05-04	2972896
2018-05-05	2708056
2018-05-06	2918432
2018-05-07	2783261
2018-05-08	3004172
2018-05-09	3107855
2018-05-10	3470805
2018-05-11	3363425
2018-05-12	2909480
2018-05-13	3326089
2018-05-14	3407436
2018-05-15	3404510
2018-05-16	3613626
2018-05-17	3280340
2018-05-18	2959194
2018-05-19	3112347
2018-05-20	3577058
2018-05-21	3496010
2018-05-22	3665686
2018-05-23	3531479
