date	2018	2019	2020
2020-01-01	3999955	3338366	3586942
2020-01-02	4306523	3454958	3534903
2020-01-03	4005694	3420861	3483584
2020-01-04	3703190	3221445	3783583
2020-01-05	3424812	3802748	4026342
2020-01-06	3536953	4215202	3912115
2020-01-07	4156871	3749095	4103944
2020-01-08	3808387	3700641	4191289
2020-01-09	3807603	3476279	3830261
2020-01-10	3567335	3405779	3507858
2020-01-11	3584265	3108180	3652307
2020-01-12	3203845	3458051	4167384
2020-01-13	3307696	3724283	3898684
2020-01-14	3694852	3721926	3933682
2020-01-15	3605806	3671241	3842813
2020-01-16	3740017	3691792	3554594
2020-01-17	3717217	3601633	3245418
2020-01-18	3474509	3302455	3154340
2020-01-19	3117339	3349517	3635235
2020-01-20	3251204	3822069	3680277
2020-01-21	3625083	3799121	4034084
2020-01-22	3671970	3605314	3595885
2020-01-23	3434698	3528356	3525086
2020-01-24	3428181	3418361	3238113
2020-01-25	3574714	3132644	3380702
2020-01-26	3045903	3233580	3447911
2020-01-27	3229547	3708156	3553636
2020-01-28	3491752	3533458	3501701
2020-01-29	3582777	3329022	3325258
2020-01-30	3414166	3244833	2902630
2020-01-31	3157010	2976465	3042377
2020-02-01	2997471	2953207	2921890
2020-02-02	2955548	3149733	3383668
2020-02-03	3134500	3516937	3377859
2020-02-04	3348854	3331839	3343778
2020-02-05	3354709	3388647	3417566
2020-02-06	3318261	3323535	3104771
2020-02-07	3334338	3164113	3044774
2020-02-08	3274587	3196412	2954616
2020-02-09	3167523	3146158	3124158
2020-02-10	3258515	3553011	3119605
2020-02-11	3523924	3421782	3143699
2020-02-12	3574953	3475130	3268316
2020-02-13	3342329	3178896	3084346
2020-02-14	3239559	3141309	3308823
2020-02-15	3287083	3205527	3339449
2020-02-16	3102981	3147348	3416582
2020-02-17	3138280	3397559	3334728
2020-02-18	3432308	3388179	3290251
2020-02-19	3511002	3486994	3352310
2020-02-20	3364857	3509513	3351598
2020-02-21	3457341	3373236	3005215
2020-02-22	3270231	3113850	2828518
2020-02-23	3026352	3000458	3374391
2020-02-24	3190188	3355627	3262645
2020-02-25	3669477	3553331	3525103
2020-02-26	3322326	3599789	3325879
2020-02-27	3654646	3554970	3669012
2020-02-28	3233726	3634006	2884986
2020-02-29	0	0	2969009
2020-03-01	3265465	3464153	3431762
2020-03-02	3272462	3513231	3209267
2020-03-03	3234046	3582563	3355407
2020-03-04	3518142	3434676	3213740
2020-03-05	3487050	3386902	3072545
2020-03-06	3583573	3370709	3120213
2020-03-07	3575239	2911523	3143526
2020-03-08	3369463	2881503	3323810
2020-03-09	3149416	2921403	3362262
2020-03-10	3109293	3755505	3138820
2020-03-11	3288366	3199722	3424788
2020-03-12	3362318	3281612	3452606
2020-03-13	3264016	3169983	3636833
2020-03-14	3504748	3366102	3298832
2020-03-15	3480763	2751717	3655430
2020-03-16	3136225	2999301	3885700
2020-03-17	3512858	3310923	4097978
2020-03-18	3589362	3480152	4183711
2020-03-19	3583863	3352769	4161953
2020-03-20	3482776	3312314	4314650
2020-03-21	3227192	3077341	4399454
2020-03-22	3242572	2920736	4556510
2020-03-23	2921961	2973310	4573651
2020-03-24	2977204	3450972	4794764
2020-03-25	3349437	3569805	4710333
2020-03-26	3245367	3660138	4714755
2020-03-27	3206702	3362570	4388506
2020-03-28	2816452	3431789	3910837
2020-03-29	2726854	2964757	4327831
2020-03-30	2762991	2674592	4830343
2020-03-31	2875541	3155026	5007249
2020-04-01	3111861	3357345	4763990
2020-04-02	3217247	3470151	4742545
2020-04-03	3095057	3310936	4576681
2020-04-04	3145542	3050470	3877336
2020-04-05	3034858	2962065	4166142
2020-04-06	2837747	3036850	4648101
2020-04-07	2576214	3157726	5072959
2020-04-08	3113570	3317581	4412653
2020-04-09	2940787	3210931	3720671
2020-04-10	3071857	3102500	3892869
2020-04-11	2962105	3063006	3454640
2020-04-12	2868760	2974208	3757674
2020-04-13	2800048	2971361	4410228
2020-04-14	2531616	3205425	4960573
2020-04-15	2946318	3276542	4684477
2020-04-16	3097912	3106534	4439751
2020-04-17	3039349	2814984	4450352
2020-04-18	2973616	2580517	3766336
2020-04-19	2953655	2832450	4542970
2020-04-20	2769231	2689107	4611909
2020-04-21	2446671	2716980	4667356
2020-04-22	2920912	3176989	4544129
2020-04-23	3443565	3544196	4326226
2020-04-24	3060132	3181421	4354032
2020-04-25	2980932	3207676	3988911
2020-04-26	2935663	2901683	4389655
2020-04-27	2539096	2918407	4548816
2020-04-28	2341084	3444098	4513725
2020-04-29	2678937	3130691	4690941
2020-04-30	2665708	2704210	4233714
2020-05-01	3346906	3111061	3921505
2020-05-02	3516842	3099610	3902760
2020-05-03	3081342	3012186	4482292
2020-05-04	2972896	3055385	4504947
2020-05-05	2708056	3343480	4633651
2020-05-06	2918432	3410262	4399841
2020-05-07	2783261	3042999	4105261
2020-05-08	3004172	3370259	3693643
2020-05-09	3107855	3304569	3656088
2020-05-10	3470805	3205849	4292913
2020-05-11	3363425	3276048	4469111
2020-05-12	2909480	3655189	4493107
2020-05-13	3326089	3599844	4406209
2020-05-14	3407436	3684156	4253341
2020-05-15	3404510	3573402	4249898
2020-05-16	3613626	3609246	3349238
2020-05-17	3280340	3117826	3708198
2020-05-18	2959194	3114689	4130341
