date	views_2019	views_2020
2020-01-01	3338366	3586942
2020-01-02	3454958	3534903
2020-01-03	3420861	3483584
2020-01-04	3221445	3783583
2020-01-05	3802748	4026342
2020-01-06	4215202	3912115
2020-01-07	3749095	4103944
2020-01-08	3700641	4191289
2020-01-09	3476279	3830261
2020-01-10	3405779	3507858
2020-01-11	3108180	3652307
2020-01-12	3458051	4167384
2020-01-13	3724283	3898684
2020-01-14	3721926	3933682
2020-01-15	3671241	3842813
2020-01-16	3691792	3554594
2020-01-17	3601633	3245418
2020-01-18	3302455	3154340
2020-01-19	3349517	3635235
2020-01-20	3822069	3680277
2020-01-21	3799121	4034084
2020-01-22	3605314	3595885
2020-01-23	3528356	3525086
2020-01-24	3418361	3238113
2020-01-25	3132644	3380702
2020-01-26	3233580	3447911
2020-01-27	3708156	3553636
2020-01-28	3533458	3501701
2020-01-29	3329022	3325258
2020-01-30	3244833	2902630
2020-01-31	2976465	3042377
2020-02-01	2953207	2921890
2020-02-02	3149733	3383668
2020-02-03	3516937	3377859
2020-02-04	3331839	3343778
2020-02-05	3388647	3417566
2020-02-06	3323535	3104771
2020-02-07	3164113	3044774
2020-02-08	3196412	2954616
2020-02-09	3146158	3124158
2020-02-10	3553011	3119605
2020-02-11	3421782	3143699
2020-02-12	3475130	3268316
2020-02-13	3178896	3084346
2020-02-14	3141309	3308823
2020-02-15	3205527	3339449
2020-02-16	3147348	3416582
2020-02-17	3397559	3334728
2020-02-18	3388179	3290251
2020-02-19	3486994	3352310
2020-02-20	3509513	3351598
2020-02-21	3373236	3005215
2020-02-22	3113850	2828518
2020-02-23	3000458	3374391
2020-02-24	3355627	3262645
2020-02-25	3553331	3525103
2020-02-26	3599789	3325879
2020-02-27	3554970	3669012
2020-02-28	3634006	2884986
2020-03-01	3464153	3431762
2020-03-02	3513231	3209267
2020-03-03	3582563	3355407
2020-03-04	3434676	3213740
2020-03-05	3386902	3072545
2020-03-06	3370709	3120213
2020-03-07	2911523	3143526
2020-03-08	2881503	3323810
2020-03-09	2921403	3362262
2020-03-10	3755505	3138820
2020-03-11	3199722	3424788
2020-03-12	3281612	3452606
2020-03-13	3169983	3636833
2020-03-14	3366102	3298832
2020-03-15	2751717	3655430
2020-03-16	2999301	3885700
2020-03-17	3310923	4097978
2020-03-18	3480152	4183711
2020-03-19	3352769	4161953
2020-03-20	3312314	4314650
2020-03-21	3077341	4399454
2020-03-22	2920736	4556510
2020-03-23	2973310	4573651
2020-03-24	3450972	4794764
2020-03-25	3569805	4710333
2020-03-26	3660138	4714755
2020-03-27	3362570	4388506
2020-03-28	3431789	3910837
2020-03-29	2964757	4327831
2020-03-30	2674592	4830343
2020-03-31	3155026	5007249
2020-04-01	3357345	4763990
2020-04-02	3470151	4742545
2020-04-03	3310936	4576681
2020-04-04	3050470	3877336
2020-04-05	2962065	4166142
2020-04-06	3036850	4648101
2020-04-07	3157726	5072959
2020-04-08	3317581	4412653
2020-04-09	3210931	3720671
2020-04-10	3102500	3892869
2020-04-11	3063006	3454640
2020-04-12	2974208	3757674
2020-04-13	2971361	4410228
2020-04-14	3205425	4960573
2020-04-15	3276542	4684477
2020-04-16	3106534	4439751
2020-04-17	2814984	4450352
2020-04-18	2580517	3766336
2020-04-19	2832450	4542970
2020-04-20	2689107	4611909
2020-04-21	2716980	4667356
2020-04-22	3176989	4544129
2020-04-23	3544196	4326226
2020-04-24	3181421	4354032
2020-04-25	3207676	3988911
2020-04-26	2901683	4389655
2020-04-27	2918407	4548816
2020-04-28	3444098	4513725
2020-04-29	3130691	4690941
2020-04-30	2704210	4233714
2020-05-01	3111061	3921505
2020-05-02	3099610	3902760
2020-05-03	3012186	4482292
2020-05-04	3055385	4504947
2020-05-05	3343480	4633651
2020-05-06	3410262	4399841
2020-05-07	3042999	4105261
2020-05-08	3370259	3693643
2020-05-09	3304569	3656088
2020-05-10	3205849	4292913
2020-05-11	3276048	4469111
2020-05-12	3655189	4493107
2020-05-13	3599844	4406209
2020-05-14	3684156	4253341
2020-05-15	3573402	4249898
2020-05-16	3609246	3349238
2020-05-17	3117826	3708198
2020-05-18	3114689	4130341
2020-05-19	3386432	4038969
2020-05-20	3745275	4186458
2020-05-21	4570274	3816289
2020-05-22	4168520	3776866
2020-05-23	3717401	4055566
2020-05-24	2987949	4301140
2020-05-25	2865880	4174609
