month	page_title	views_2020	views_2019	views_difference
4	Speciální:Hledání	1242920	885467	357453
4	Emanuel_Moravec	135184	2209	132975
4	-	288321	208763	79558
4	Adam_Vojtěch	72599	1689	70910
4	Španělská_chřipka	64491	1058	63433
4	Koronavirus	53295	219	53076
4	Kim_Čong-un	51866	4015	47851
4	Seznam_států_světa_podle_počtu_obyvatel	57879	12175	45704
4	Eva_Burešová	45936	2037	43899
4	Ivan_Stěpanovič_Koněv	43092	1187	41905
4	Spojené_státy_americké	63710	23304	40406
4	Karel_IV.	75419	37194	38225
4	Roman_Prymula	36825	176	36649
4	Česko	89476	53448	36028
4	Lorenzo_I._Medicejský	35493	1305	34188
4	Tereza_Spencerová	33727	870	32857
4	Jan_Hus	49526	16736	32790
4	Vitamín_D	41363	8792	32571
4	Josef_Laufer_(herec)	34322	2616	31706
4	Kurzarbeit	30465	123	30342
