month	page_title	views_2020	views_2019	views_difference
12	Český_státní_svátek	127115	8275	118840
12	Jan_Mikolášek	54369	399	53970
12	Alžběta_II.	84662	34016	50646
12	App_Store	47804	439	47365
12	Hlavní_strana	1451036	1409312	41724
12	Margaret,_hraběnka_Snowdon	51404	9886	41518
12	Ladislav_Mrkvička	38494	1092	37402
12	Princezna_Diana	39190	6218	32972
12	Zodiac_(vrah)	30925	2310	28615
12	Vlastimil_Brodský	35834	7611	28223
12	Princ_Philip,_vévoda_z_Edinburghu	38207	11016	27191
12	Charles,_princ_z_Walesu	35908	9561	26347
12	Jiří_Schmitzer	34981	9382	25599
12	Tomáš_Holý	45739	21251	24488
12	Hodinářův_učeň	25834	1446	24388
12	Jiří_Sovák	34064	10156	23908
12	Simona_Kijonková	24386	651	23735
12	Jiří_VI.	35550	12044	23506
12	Španělská_chřipka	25079	1581	23498
12	Karel_Janeček	25110	2512	22598
