month	day	page_title	views_2020	views_2019	views_difference
7	13	Hlavní_strana	64081	52162	11919
7	13	Kelly_Preston	8456	7	8449
7	13	Mistrovství_Evropy_ve_fotbale_2004	5287	41	5246
7	13	John_Travolta	5166	52	5114
7	13	Jiří_Procházka_(sportovec)	3426	31	3395
7	13	Silnice_I/13	2363	6	2357
7	13	Zánik_Ďatlovovy_výpravy	2202	80	2122
7	13	Andrzej_Duda	2083	16	2067
7	13	Miroslav_Kalousek	2062	135	1927
7	13	Naya_Rivera	1815	8	1807
7	13	Karel_Schwarzenberg	1931	179	1752
7	13	Lisa_Marie_Presleyová	1939	235	1704
7	13	Amedeo_Biavati	1699	1	1698
7	13	Ludvík_XIV.	1593	109	1484
7	13	Rigoletto	1414	16	1398
7	13	Kategorie:Věda	1398	38	1360
7	13	Kateřina_II._Veliká	1354	66	1288
7	13	Wikipedie:WikiProjekt_Překlad/Rady	1333	84	1249
7	13	Wikipedie:Fotíme_Česko	1175	2	1173
7	13	Poklad_na_Stříbrném_jezeře	1850	698	1152
