month	page_title	views_2020	views_2019	views_difference
3	Pandemie COVID-19 v Česku	459649	0	459649
3	Pandemie COVID-19	430442	0	430442
3	Koronavirus	340236	239	339997
3	Španělská chřipka	234138	1676	232462
3	Epidemie koronaviru SARS-CoV-2	204541	0	204541
3	COVID-19	198428	0	198428
3	Epidemie koronaviru SARS-CoV-2 v Česku	190229	0	190229
3	SARS-CoV-2	168047	0	168047
3	Morfologie květu	162602	1289	161313
3	Adam Vojtěch	161560	3160	158400
3	SARS	149723	1489	148234
3	Pandemie	121074	650	120424
3	Roman Prymula	97146	231	96915
3	Seznam dílů seriálu Slunečná	93928	0	93928
3	Itálie	104804	14718	90086
3	Nouzový stav	85410	214	85196
3	Mor	87667	6078	81589
3	Slunečná (seriál)	71752	0	71752
3	Chřipka	72155	3897	68258
3	Seznam států světa podle počtu obyvatel	78735	14414	64321
