month	day	page_title	views_2020	views_2019	views_difference
3	20	Hlavní_strana	110243	63514	46729
3	20	Speciální:Hledání	46512	33172	13340
3	20	Španělská_chřipka	10948	40	10908
3	20	Koronavirus	9766	5	9761
3	20	Ignác_Filip_Semmelweis	6586	16	6570
3	20	SARS	6432	51	6381
3	20	Kurzarbeit	5702	2	5700
3	20	Vladimír_Zábrodský	5276	7	5269
3	20	Antonov_An-124	4777	30	4747
3	20	Roman_Prymula	4542	9	4533
3	20	Itálie	4972	605	4367
3	20	Dana_Zátopková	4315	96	4219
3	20	Česká_hokejová_extraliga_1993/1994	3391	43	3348
3	20	Adam_Vojtěch	3323	87	3236
3	20	Eva_Pilarová	3104	26	3078
3	20	Simona_Stašová	3229	167	3062
3	20	Mor	3255	205	3050
3	20	Pandemie	3045	33	3012
3	20	Stanné_právo	3065	75	2990
3	20	Seznam_států_světa_podle_počtu_obyvatel	3469	604	2865
