date	experienced	newcomer
2020-01-02	2014	80
2020-01-03	1987	100
2020-01-04	2245	75
2020-01-05	2170	58
2020-01-06	2506	37
2020-01-07	2661	53
2020-01-08	2682	45
2020-01-09	2681	79
2020-01-10	2871	50
2020-01-11	2803	87
2020-01-12	2937	102
2020-01-13	3307	134
2020-01-14	3234	107
2020-01-15	2309	65
2020-01-16	2121	66
2020-01-17	2207	50
2020-01-18	2179	68
2020-01-19	2075	123
2020-01-20	2450	119
2020-01-21	2185	85
2020-01-22	2103	106
2020-01-23	2597	217
2020-01-24	2245	342
2020-01-25	1833	200
2020-01-26	1508	151
2020-01-27	2593	120
2020-01-28	2485	60
2020-01-29	2421	112
2020-01-30	2304	431
2020-01-31	2224	121
2020-02-01	2399	112
2020-02-02	2345	145
2020-02-03	2475	109
2020-02-04	2364	138
2020-02-05	2400	189
2020-02-06	2439	190
2020-02-07	2259	148
2020-02-08	2182	130
2020-02-09	1809	137
2020-02-10	2095	126
2020-02-11	1905	158
2020-02-12	1948	318
2020-02-13	2170	207
2020-02-14	2420	239
2020-02-15	2296	138
2020-02-16	2151	127
2020-02-17	2636	154
2020-02-18	2184	182
2020-02-19	2160	146
2020-02-20	2096	170
2020-02-21	2027	115
2020-02-22	2248	179
2020-02-23	2051	144
2020-02-24	2214	148
2020-02-25	2407	143
2020-02-26	2207	118
2020-02-27	2111	192
2020-02-28	2596	121
2020-02-29	2237	229
2020-03-01	2592	94
2020-03-02	2083	124
2020-03-03	2259	91
2020-03-04	3110	81
2020-03-05	2265	54
2020-03-06	2583	110
2020-03-07	2445	50
2020-03-08	2865	84
2020-03-09	2809	112
2020-03-10	2138	66
2020-03-11	2405	84
2020-03-12	3059	135
2020-03-13	2783	160
2020-03-14	3307	65
2020-03-15	2278	127
2020-03-16	2369	100
2020-03-17	2276	104
2020-03-18	1845	114
2020-03-19	2116	67
2020-03-20	2358	108
2020-03-21	2475	107
2020-03-22	2620	77
2020-03-23	2687	193
2020-03-24	2373	205
2020-03-25	2877	147
2020-03-26	2797	104
2020-03-27	2367	70
2020-03-28	2422	82
2020-03-29	2634	62
2020-03-30	2406	148
2020-03-31	2754	147
2020-04-01	2340	132
2020-04-02	2287	91
2020-04-03	2320	91
2020-04-04	2437	66
2020-04-05	2315	62
2020-04-06	2313	116
2020-04-07	2585	114
2020-04-08	2300	101
2020-04-09	2112	87
2020-04-10	2071	78
2020-04-11	2108	89
2020-04-12	2574	84
2020-04-13	2480	78
2020-04-14	2868	147
2020-04-15	2973	102
2020-04-16	2674	71
2020-04-17	2388	93
2020-04-18	2271	83
2020-04-19	2476	43
2020-04-20	2608	98
2020-04-21	2428	123
2020-04-22	2738	91
2020-04-23	2416	68
2020-04-24	2061	59
2020-04-25	2041	59
2020-04-26	2262	116
2020-04-27	2415	108
2020-04-28	2980	96
2020-04-29	2798	78
2020-04-30	2677	105
2020-05-01	2077	107
2020-05-02	2613	108
2020-05-03	2282	163
2020-05-04	2904	161
2020-05-05	2696	148
2020-05-06	2846	167
2020-05-07	2863	112
2020-05-08	2479	68
2020-05-09	2154	71
2020-05-10	1937	97
2020-05-11	2766	140
2020-05-12	2830	121
2020-05-13	2858	165
2020-05-14	2518	95
2020-05-15	2175	147
2020-05-16	1871	84
2020-05-17	1517	64
2020-05-18	1926	86
2020-05-19	1939	119
2020-05-20	2409	150
2020-05-21	2073	144
2020-05-22	2212	156
2020-05-23	2163	108
2020-05-24	2199	111
2020-05-25	2284	162
2020-05-26	2284	114
2020-05-27	2035	114
2020-05-28	2155	114
2020-05-29	2245	156
2020-05-30	1816	125
2020-05-31	2223	126
2020-06-01	2356	101
2020-06-02	2434	99
2020-06-03	2592	91
2020-06-04	2466	71
2020-06-05	2555	140
2020-06-06	2104	60
2020-06-07	2362	69
2020-06-08	3004	88
2020-06-09	2186	125
2020-06-10	2934	91
2020-06-11	2361	90
2020-06-12	2154	53
2020-06-13	2068	71
2020-06-14	2328	74
2020-06-15	2526	83
2020-06-16	2236	95
2020-06-17	2635	166
2020-06-18	2417	66
2020-06-19	2459	118
2020-06-20	1962	79
2020-06-21	2142	94
2020-06-22	2276	129
2020-06-23	2182	62
2020-06-24	2120	55
2020-06-25	1713	114
2020-06-26	1707	61
2020-06-27	1202	84
2020-06-28	1342	64
2020-06-29	1903	88
2020-06-30	1446	79
2020-07-01	1648	64
2020-07-02	2052	79
2020-07-03	1661	47
2020-07-04	1490	18
2020-07-05	2007	47
2020-07-06	1765	33
2020-07-07	2335	60
2020-07-08	2247	52
2020-07-09	2020	53
2020-07-10	1643	55
2020-07-11	1504	103
2020-07-12	1838	62
2020-07-13	1667	40
2020-07-14	1901	52
2020-07-15	1735	70
2020-07-16	2018	67
2020-07-17	2292	99
2020-07-18	1698	145
2020-07-19	1556	191
2020-07-20	1881	76
2020-07-21	1771	81
2020-07-22	1568	63
2020-07-23	1715	56
2020-07-24	1310	59
2020-07-25	1369	32
2020-07-26	2020	30
2020-07-27	1769	53
2020-07-28	1608	42
2020-07-29	1612	115
2020-07-30	1804	150
2020-07-31	1750	51
2020-08-01	1372	46
2020-08-02	1644	58
2020-08-03	1753	59
2020-08-04	1825	72
2020-08-05	1887	58
2020-08-06	1975	38
2020-08-07	1864	48
2020-08-08	1380	52
2020-08-09	1601	71
2020-08-10	1612	102
2020-08-11	1588	164
2020-08-12	1640	50
2020-08-13	1618	83
2020-08-14	1285	68
2020-08-15	1393	70
2020-08-16	1487	98
2020-08-17	1578	70
2020-08-18	1579	76
2020-08-19	1464	56
2020-08-20	1584	59
2020-08-21	1593	74
2020-08-22	1389	44
2020-08-23	1692	47
2020-08-24	1698	58
2020-08-25	1744	32
2020-08-26	1504	38
2020-08-27	1588	54
2020-08-28	1454	46
2020-08-29	1692	32
2020-08-30	1684	54
2020-08-31	1772	23
2020-09-01	1513	51
2020-09-02	1545	56
2020-09-03	1612	36
2020-09-04	1544	49
2020-09-05	1701	66
2020-09-06	1613	54
2020-09-07	1882	63
2020-09-08	1909	46
2020-09-09	1853	47
2020-09-10	1941	123
2020-09-11	1623	155
2020-09-12	1847	74
2020-09-13	2507	50
2020-09-14	2053	136
2020-09-15	1584	146
2020-09-16	1659	82
2020-09-17	2022	53
2020-09-18	1835	94
2020-09-19	2017	60
2020-09-20	2181	76
2020-09-21	1709	38
2020-09-22	1744	62
2020-09-23	1742	58
2020-09-24	1767	58
2020-09-25	1684	37
2020-09-26	2104	66
2020-09-27	1804	60
2020-09-28	2124	72
2020-09-29	1585	81
2020-09-30	1838	71
2020-10-01	1926	82
2020-10-02	2092	64
2020-10-03	1587	69
2020-10-04	1819	84
2020-10-05	2194	100
2020-10-06	2099	44
2020-10-07	1743	49
2020-10-08	2014	31
2020-10-09	2043	43
2020-10-10	1990	29
2020-10-11	1687	61
2020-10-12	1796	111
2020-10-13	2144	66
2020-10-14	2577	66
2020-10-15	2207	96
2020-10-16	1976	65
2020-10-17	2276	59
2020-10-18	1951	39
2020-10-19	1941	41
2020-10-20	1733	65
2020-10-21	1991	60
2020-10-22	1875	62
2020-10-23	1808	85
2020-10-24	1978	40
2020-10-25	2003	52
2020-10-26	2149	83
2020-10-27	2358	76
2020-10-28	2499	85
2020-10-29	2178	93
2020-10-30	2101	99
2020-10-31	1926	190
2020-11-01	2259	157
2020-11-02	2399	111
2020-11-03	2071	78
2020-11-04	1698	106
2020-11-05	1833	126
2020-11-06	1822	101
2020-11-07	1531	81
2020-11-08	1863	60
2020-11-09	2079	93
2020-11-10	1980	86
2020-11-11	2119	117
2020-11-12	1995	115
2020-11-13	2318	108
2020-11-14	1894	62
2020-11-15	2203	58
2020-11-16	2182	117
2020-11-17	2205	84
2020-11-18	2132	66
2020-11-19	1998	95
2020-11-20	2166	92
2020-11-21	2001	86
2020-11-22	2246	113
2020-11-23	2304	157
2020-11-24	2388	166
2020-11-25	2338	201
2020-11-26	1996	186
2020-11-27	2521	226
2020-11-28	2023	241
2020-11-29	2109	273
2020-11-30	2247	97
2020-12-01	2402	144
2020-12-02	1984	168
2020-12-03	2336	133
2020-12-04	2600	132
2020-12-05	1908	105
2020-12-06	2113	84
2020-12-07	2389	106
2020-12-08	2063	102
2020-12-09	2114	100
2020-12-10	2184	77
2020-12-11	2359	79
2020-12-12	2086	139
2020-12-13	2154	71
2020-12-14	2134	160
2020-12-15	1753	115
2020-12-16	1898	71
2020-12-17	1950	108
2020-12-18	1967	77
2020-12-19	2255	134
2020-12-20	2249	64
2020-12-21	2243	82
2020-12-22	1776	81
2020-12-23	1641	108
2020-12-24	1196	46
2020-12-25	1405	50
2020-12-26	1448	49
2020-12-27	1673	44
2020-12-28	2000	63
2020-12-29	1891	100
2020-12-30	1866	81
2020-12-31	1891	44
