date	new_pages
2019-01-02	144
2019-01-03	100
2019-01-04	129
2019-01-05	111
2019-01-06	94
2019-01-07	82
2019-01-08	90
2019-01-09	103
2019-01-10	114
2019-01-11	107
2019-01-12	133
2019-01-13	119
2019-01-14	136
2019-01-15	142
2019-01-16	133
2019-01-17	103
2019-01-18	111
2019-01-19	99
2019-01-20	127
2019-01-21	140
2019-01-22	150
2019-01-23	113
2019-01-24	115
2019-01-25	197
2019-01-26	106
2019-01-27	152
2019-01-28	170
2019-01-29	119
2019-01-30	161
2019-01-31	149
2019-02-01	155
2019-02-02	144
2019-02-03	137
2019-02-04	99
2019-02-05	116
2019-02-06	156
2019-02-07	185
2019-02-08	121
2019-02-09	130
2019-02-10	170
2019-02-11	198
2019-02-12	182
2019-02-13	184
2019-02-14	170
2019-02-15	163
2019-02-16	134
2019-02-17	202
2019-02-18	124
2019-02-19	163
2019-02-20	147
2019-02-21	130
2019-02-22	107
2019-02-23	143
2019-02-24	134
2019-02-25	137
2019-02-26	196
2019-02-27	165
2019-02-28	133
2019-03-01	123
2019-03-02	109
2019-03-03	129
2019-03-04	139
2019-03-05	141
2019-03-06	172
2019-03-07	111
2019-03-08	158
2019-03-09	214
2019-03-10	283
2019-03-11	232
2019-03-12	132
2019-03-13	215
2019-03-14	120
2019-03-15	188
2019-03-16	93
2019-03-17	96
2019-03-18	110
2019-03-19	113
2019-03-20	112
2019-03-21	5
2019-03-22	135
2019-03-23	115
2019-03-24	100
2019-03-25	100
2019-03-26	92
2019-03-27	124
2019-03-28	118
2019-03-29	102
2019-03-30	128
2019-03-31	92
2019-04-01	111
2019-04-02	110
2019-04-03	167
2019-04-04	127
2019-04-05	113
2019-04-06	91
2019-04-07	96
2019-04-08	110
2019-04-09	167
2019-04-10	131
2019-04-11	141
2019-04-12	113
2019-04-13	164
2019-04-14	117
2019-04-15	140
2019-04-16	103
2019-04-17	76
2019-04-18	93
2019-04-19	147
2019-04-20	92
2019-04-21	106
2019-04-22	81
2019-04-23	120
2019-04-24	188
2019-04-25	103
2019-04-26	108
2019-04-27	106
2019-04-28	113
2019-04-29	121
2019-04-30	107
2019-05-01	127
2019-05-02	197
2019-05-03	138
2019-05-04	130
2019-05-05	120
2019-05-06	160
2019-05-07	122
2019-05-08	90
2019-05-09	112
2019-05-10	141
2019-05-11	94
2019-05-12	149
2019-05-13	85
2019-05-14	195
2019-05-15	164
2019-05-16	203
2019-05-17	109
2019-05-18	164
2019-05-19	113
2019-05-20	97
2019-05-21	147
2019-05-22	101
2019-05-23	132
2019-05-24	76
2019-05-25	93
2019-05-26	94
2019-05-27	77
2019-05-28	129
2019-05-29	132
2019-05-30	107
2019-05-31	107
2019-06-01	150
2019-06-02	68
2019-06-03	92
2019-06-04	86
2019-06-05	79
2019-06-06	110
2019-06-07	95
2019-06-08	109
2019-06-09	106
2019-06-10	110
2019-06-11	97
2019-06-12	82
2019-06-13	95
2019-06-14	92
2019-06-15	53
2019-06-16	77
2019-06-17	91
2019-06-18	102
2019-06-19	108
2019-06-20	84
2019-06-21	111
2019-06-22	102
2019-06-23	78
2019-06-24	97
2019-06-25	77
2019-06-26	137
2019-06-27	88
2019-06-28	69
2019-06-29	90
2019-06-30	104
2019-07-01	71
2019-07-02	66
2019-07-03	91
2019-07-04	67
2019-07-05	80
2019-07-06	101
2019-07-07	78
2019-07-08	76
2019-07-09	64
