date	new_pages_2019	new_pages_2020
2020-01-02	144	147
2020-01-03	100	125
2020-01-04	129	169
2020-01-05	111	193
2020-01-06	94	159
2020-01-07	82	168
2020-01-08	90	140
2020-01-09	103	159
2020-01-10	114	130
2020-01-11	107	128
2020-01-12	133	135
2020-01-13	119	160
2020-01-14	136	180
2020-01-15	142	146
2020-01-16	133	151
2020-01-17	103	173
2020-01-18	111	126
2020-01-19	99	135
2020-01-20	127	139
2020-01-21	140	158
2020-01-22	150	143
2020-01-23	113	253
2020-01-24	115	282
2020-01-25	197	309
2020-01-26	106	136
2020-01-27	152	182
2020-01-28	170	175
2020-01-29	119	158
2020-01-30	161	158
2020-01-31	149	159
2020-02-01	155	128
2020-02-02	144	162
2020-02-03	137	130
2020-02-04	99	131
2020-02-05	116	123
2020-02-06	156	202
2020-02-07	185	167
2020-02-08	121	125
2020-02-09	130	133
2020-02-10	170	138
2020-02-11	198	152
2020-02-12	182	237
2020-02-13	184	145
2020-02-14	170	130
2020-02-15	163	201
2020-02-16	134	166
2020-02-17	202	208
2020-02-18	124	140
2020-02-19	163	136
2020-02-20	147	123
2020-02-21	130	163
2020-02-22	107	124
2020-02-23	143	116
2020-02-24	134	177
2020-02-25	137	126
2020-02-26	196	160
2020-02-27	165	122
2020-02-28	133	148
2020-03-01	123	151
2020-03-02	109	157
2020-03-03	129	154
2020-03-04	139	127
2020-03-05	141	158
2020-03-06	172	134
2020-03-07	111	140
2020-03-08	158	174
2020-03-09	214	222
2020-03-10	283	147
2020-03-11	232	177
2020-03-12	132	185
2020-03-13	215	128
2020-03-14	120	150
2020-03-15	188	131
2020-03-16	93	134
2020-03-17	96	160
2020-03-18	110	170
2020-03-19	113	169
2020-03-20	112	171
2020-03-21	5	219
2020-03-22	135	296
2020-03-23	115	178
2020-03-24	100	221
2020-03-25	100	219
2020-03-26	92	272
2020-03-27	124	166
2020-03-28	118	175
2020-03-29	102	227
2020-03-30	128	209
2020-03-31	92	239
2020-04-01	111	231
2020-04-02	110	194
2020-04-03	167	204
2020-04-04	127	162
2020-04-05	113	157
2020-04-06	91	203
2020-04-07	96	258
2020-04-08	110	203
2020-04-09	167	185
2020-04-10	131	160
2020-04-11	141	181
2020-04-12	113	159
2020-04-13	164	194
2020-04-14	117	333
2020-04-15	140	179
2020-04-16	103	256
2020-04-17	76	213
2020-04-18	93	236
2020-04-19	147	187
2020-04-20	92	328
2020-04-21	106	193
2020-04-22	81	190
2020-04-23	120	199
2020-04-24	188	202
2020-04-25	103	143
2020-04-26	108	185
2020-04-27	106	172
2020-04-28	113	168
2020-04-29	121	266
2020-04-30	107	186
2020-05-01	127	179
2020-05-02	197	201
2020-05-03	138	197
2020-05-04	130	213
2020-05-05	120	163
2020-05-06	160	176
2020-05-07	122	153
2020-05-08	90	124
2020-05-09	112	137
2020-05-10	141	174
2020-05-11	94	200
2020-05-12	149	201
2020-05-13	85	192
2020-05-14	195	183
2020-05-15	164	172
2020-05-16	203	147
2020-05-17	109	119
2020-05-18	164	152
2020-05-19	113	153
2020-05-20	97	170
2020-05-21	147	130
2020-05-22	101	147
2020-05-23	132	166
2020-05-24	76	161
2020-05-25	93	184
2020-05-26	94	197
2020-05-27	77	124
2020-05-28	129	160
2020-05-29	132	160
2020-05-30	107	117
2020-05-31	107	140
2020-06-01	150	158
2020-06-02	68	158
2020-06-03	92	155
2020-06-04	86	161
2020-06-05	79	155
2020-06-06	110	122
2020-06-07	95	113
2020-06-08	109	150
2020-06-09	106	153
2020-06-10	110	185
2020-06-11	97	154
2020-06-12	82	138
2020-06-13	95	103
2020-06-14	92	169
2020-06-15	53	130
2020-06-16	77	218
2020-06-17	91	205
2020-06-18	102	127
2020-06-19	108	161
2020-06-20	84	110
2020-06-21	111	129
2020-06-22	102	128
2020-06-23	78	132
2020-06-24	97	93
2020-06-25	77	123
2020-06-26	137	100
2020-06-27	88	86
2020-06-28	69	110
2020-06-29	90	125
2020-06-30	104	130
2020-07-01	71	121
2020-07-02	66	148
2020-07-03	91	119
2020-07-04	67	102
2020-07-05	80	108
2020-07-06	101	90
2020-07-07	78	246
2020-07-08	76	249
2020-07-09	64	160
2020-07-10	101	141
2020-07-11	98	138
2020-07-12	70	106
2020-07-13	103	137
2020-07-14	65	149
2020-07-15	84	166
2020-07-16	79	204
2020-07-17	102	167
2020-07-18	93	117
2020-07-19	77	93
2020-07-20	81	102
2020-07-21	96	114
2020-07-22	115	75
2020-07-23	99	102
2020-07-24	80	78
2020-07-25	87	102
2020-07-26	87	222
2020-07-27	80	84
2020-07-28	105	77
2020-07-29	100	105
2020-07-30	135	108
2020-07-31	97	113
2020-08-01	87	77
2020-08-02	82	79
2020-08-03	88	115
2020-08-04	140	108
2020-08-05	120	97
2020-08-06	101	107
2020-08-07	75	86
2020-08-08	84	89
2020-08-09	118	103
2020-08-10	153	102
2020-08-11	99	81
2020-08-12	98	100
2020-08-13	89	96
2020-08-14	76	75
2020-08-15	91	62
2020-08-16	70	93
2020-08-17	88	81
2020-08-18	71	99
2020-08-19	94	89
2020-08-20	100	94
2020-08-21	103	118
2020-08-22	119	98
2020-08-23	144	85
2020-08-24	116	127
2020-08-25	80	121
2020-08-26	107	119
2020-08-27	105	93
2020-08-28	103	117
2020-08-29	105	75
2020-08-30	170	111
2020-08-31	131	144
2020-09-01	91	110
2020-09-02	133	112
2020-09-03	125	101
2020-09-04	113	126
2020-09-05	227	82
2020-09-06	153	85
2020-09-07	215	123
2020-09-08	176	126
2020-09-09	148	127
2020-09-10	85	95
2020-09-11	155	87
2020-09-12	125	65
2020-09-13	108	97
2020-09-14	111	113
2020-09-15	83	104
2020-09-16	123	91
2020-09-17	154	104
2020-09-18	100	105
2020-09-19	124	91
2020-09-20	216	91
2020-09-21	125	76
2020-09-22	116	94
2020-09-23	140	97
