date	new_pages
2019-01-02	121
2019-01-03	82
2019-01-04	119
2019-01-05	96
2019-01-06	84
2019-01-07	70
2019-01-08	70
2019-01-09	82
2019-01-10	93
2019-01-11	78
2019-01-12	119
2019-01-13	98
2019-01-14	121
2019-01-15	125
2019-01-16	117
2019-01-17	94
2019-01-18	103
2019-01-19	85
2019-01-20	110
2019-01-21	118
2019-01-22	129
2019-01-23	100
2019-01-24	87
2019-01-25	187
2019-01-26	101
2019-01-27	133
2019-01-28	147
2019-01-29	108
2019-01-30	144
2019-01-31	137
2019-02-01	145
2019-02-02	130
2019-02-03	124
2019-02-04	82
2019-02-05	85
2019-02-06	142
2019-02-07	167
2019-02-08	107
2019-02-09	118
2019-02-10	159
2019-02-11	175
2019-02-12	156
2019-02-13	161
2019-02-14	144
2019-02-15	143
2019-02-16	120
2019-02-17	181
2019-02-18	100
2019-02-19	133
2019-02-20	130
2019-02-21	118
2019-02-22	88
2019-02-23	129
2019-02-24	126
2019-02-25	118
2019-02-26	170
2019-02-27	149
2019-02-28	115
2019-03-01	104
2019-03-02	101
2019-03-03	114
2019-03-04	110
2019-03-05	124
2019-03-06	153
2019-03-07	94
2019-03-08	132
2019-03-09	201
2019-03-10	266
2019-03-11	212
2019-03-12	112
2019-03-13	188
2019-03-14	99
2019-03-15	162
2019-03-16	82
2019-03-17	84
2019-03-18	80
2019-03-19	89
2019-03-20	87
2019-03-21	5
2019-03-22	111
2019-03-23	107
2019-03-24	93
2019-03-25	83
2019-03-26	69
2019-03-27	96
2019-03-28	84
2019-03-29	87
2019-03-30	120
2019-03-31	75
2019-04-01	90
2019-04-02	87
2019-04-03	144
2019-04-04	98
2019-04-05	88
2019-04-06	81
2019-04-07	82
2019-04-08	81
2019-04-09	131
2019-04-10	120
2019-04-11	109
2019-04-12	91
2019-04-13	152
2019-04-14	107
2019-04-15	114
2019-04-16	88
2019-04-17	59
2019-04-18	84
2019-04-19	139
2019-04-20	76
2019-04-21	100
2019-04-22	73
2019-04-23	109
2019-04-24	155
2019-04-25	91
2019-04-26	92
2019-04-27	92
2019-04-28	84
2019-04-29	92
2019-04-30	91
2019-05-01	105
2019-05-02	169
2019-05-03	125
2019-05-04	112
2019-05-05	106
2019-05-06	143
2019-05-07	101
2019-05-08	76
2019-05-09	89
2019-05-10	113
2019-05-11	80
2019-05-12	130
2019-05-13	65
2019-05-14	180
2019-05-15	140
2019-05-16	175
2019-05-17	82
2019-05-18	150
2019-05-19	104
2019-05-20	64
2019-05-21	114
2019-05-22	78
2019-05-23	104
2019-05-24	49
2019-05-25	77
2019-05-26	74
2019-05-27	60
2019-05-28	102
2019-05-29	102
2019-05-30	77
2019-05-31	93
2019-06-01	137
2019-06-02	51
2019-06-03	67
2019-06-04	67
2019-06-05	67
2019-06-06	79
2019-06-07	65
2019-06-08	90
2019-06-09	82
2019-06-10	73
2019-06-11	65
2019-06-12	41
2019-06-13	57
2019-06-14	66
2019-06-15	37
2019-06-16	54
2019-06-17	58
2019-06-18	71
2019-06-19	82
2019-06-20	61
2019-06-21	86
2019-06-22	84
2019-06-23	67
2019-06-24	80
2019-06-25	61
2019-06-26	122
2019-06-27	72
2019-06-28	58
2019-06-29	78
2019-06-30	85
2019-07-01	60
2019-07-02	62
2019-07-03	77
2019-07-04	55
2019-07-05	72
2019-07-06	89
2019-07-07	65
2019-07-08	64
2019-07-09	51
2019-07-10	78
2019-07-11	81
2019-07-12	61
2019-07-13	87
2019-07-14	54
2019-07-15	80
2019-07-16	59
2019-07-17	90
2019-07-18	75
2019-07-19	69
2019-07-20	68
2019-07-21	81
2019-07-22	101
2019-07-23	88
2019-07-24	65
2019-07-25	73
2019-07-26	76
2019-07-27	63
2019-07-28	86
2019-07-29	82
2019-07-30	109
2019-07-31	83
2019-08-01	76
2019-08-02	70
2019-08-03	78
2019-08-04	127
2019-08-05	103
2019-08-06	80
2019-08-07	67
2019-08-08	75
2019-08-09	95
2019-08-10	141
2019-08-11	82
2019-08-12	87
2019-08-13	77
2019-08-14	64
2019-08-15	78
2019-08-16	57
2019-08-17	73
2019-08-18	56
2019-08-19	80
2019-08-20	89
2019-08-21	88
2019-08-22	94
2019-08-23	131
2019-08-24	102
2019-08-25	73
2019-08-26	96
2019-08-27	82
2019-08-28	90
2019-08-29	95
2019-08-30	160
2019-08-31	119
2019-09-01	74
2019-09-02	120
2019-09-03	91
2019-09-04	86
2019-09-05	182
2019-09-06	142
2019-09-07	195
2019-09-08	128
2019-09-09	123
2019-09-10	66
2019-09-11	140
2019-09-12	111
2019-09-13	83
2019-09-14	92
2019-09-15	73
2019-09-16	102
2019-09-17	133
2019-09-18	89
2019-09-19	92
2019-09-20	183
2019-09-21	87
2019-09-22	96
2019-09-23	102
2019-09-24	89
2019-09-25	69
2019-09-26	135
2019-09-27	155
2019-09-28	92
2019-09-29	242
2019-09-30	104
2019-10-01	77
2019-10-02	155
2019-10-03	130
2019-10-04	136
2019-10-05	95
2019-10-06	99
2019-10-07	86
2019-10-08	91
2019-10-09	80
2019-10-10	90
2019-10-11	84
2019-10-12	58
2019-10-13	103
2019-10-14	64
2019-10-15	83
2019-10-16	60
2019-10-17	61
2019-10-18	76
2019-10-19	80
2019-10-20	70
2019-10-21	90
2019-10-22	90
2019-10-23	90
2019-10-24	96
2019-10-25	88
2019-10-26	72
2019-10-27	45
2019-10-28	106
2019-10-29	94
2019-10-30	72
2019-10-31	98
2019-11-01	93
2019-11-02	110
2019-11-03	108
2019-11-04	89
2019-11-05	135
2019-11-06	86
2019-11-07	93
2019-11-08	92
2019-11-09	77
2019-11-10	73
2019-11-11	107
2019-11-12	111
2019-11-13	118
2019-11-14	77
2019-11-15	85
2019-11-16	84
2019-11-17	113
2019-11-18	112
2019-11-19	116
2019-11-20	67
2019-11-21	85
2019-11-22	127
2019-11-23	91
2019-11-24	95
2019-11-25	95
2019-11-26	121
2019-11-27	107
2019-11-28	133
2019-11-29	163
2019-11-30	148
2019-12-01	122
2019-12-02	129
2019-12-03	109
2019-12-04	113
2019-12-05	83
2019-12-06	120
2019-12-07	94
2019-12-08	89
2019-12-09	90
2019-12-10	115
2019-12-11	123
2019-12-12	89
2019-12-13	94
2019-12-14	89
2019-12-15	103
2019-12-16	154
2019-12-17	103
2019-12-18	101
2019-12-19	100
2019-12-20	117
2019-12-21	141
2019-12-22	135
2019-12-23	125
2019-12-24	69
2019-12-25	96
2019-12-26	110
2019-12-27	128
2019-12-28	133
2019-12-29	196
2019-12-30	107
2019-12-31	126
