date	new_pages_2019	new_pages_2020
2020-01-02	121	124
2020-01-03	82	96
2020-01-04	119	150
2020-01-05	96	157
2020-01-06	84	125
2020-01-07	70	114
2020-01-08	70	103
2020-01-09	82	102
2020-01-10	93	107
2020-01-11	78	103
2020-01-12	119	111
2020-01-13	98	123
2020-01-14	121	123
2020-01-15	125	117
2020-01-16	117	103
2020-01-17	94	138
2020-01-18	103	103
2020-01-19	85	106
2020-01-20	110	109
2020-01-21	118	120
2020-01-22	129	93
2020-01-23	100	224
2020-01-24	87	244
2020-01-25	187	289
2020-01-26	101	124
2020-01-27	133	149
2020-01-28	147	134
2020-01-29	108	133
2020-01-30	144	126
2020-01-31	137	141
2020-02-01	145	111
2020-02-02	130	142
2020-02-03	124	99
2020-02-04	82	101
2020-02-05	85	89
2020-02-06	142	160
2020-02-07	167	139
2020-02-08	107	106
2020-02-09	118	105
2020-02-10	159	120
2020-02-11	175	111
2020-02-12	156	197
2020-02-13	161	108
2020-02-14	144	102
2020-02-15	143	175
2020-02-16	120	130
2020-02-17	181	178
2020-02-18	100	105
2020-02-19	133	107
2020-02-20	130	89
2020-02-21	118	136
2020-02-22	88	93
2020-02-23	129	97
2020-02-24	126	134
2020-02-25	118	86
2020-02-26	170	122
2020-02-27	149	87
2020-02-28	115	105
2020-03-01	104	107
2020-03-02	101	111
2020-03-03	114	114
2020-03-04	110	91
2020-03-05	124	100
2020-03-06	153	96
2020-03-07	94	114
2020-03-08	132	155
2020-03-09	201	179
2020-03-10	266	125
2020-03-11	212	145
2020-03-12	112	144
2020-03-13	188	104
2020-03-14	99	126
2020-03-15	162	112
2020-03-16	82	102
2020-03-17	84	118
2020-03-18	80	114
2020-03-19	89	129
2020-03-20	87	133
2020-03-21	5	184
2020-03-22	111	255
2020-03-23	107	134
2020-03-24	93	183
2020-03-25	83	158
2020-03-26	69	204
2020-03-27	96	131
2020-03-28	84	150
2020-03-29	87	186
2020-03-30	120	163
2020-03-31	75	188
2020-04-01	90	182
2020-04-02	87	150
2020-04-03	144	163
2020-04-04	98	130
2020-04-05	88	129
2020-04-06	81	160
2020-04-07	82	216
2020-04-08	81	167
2020-04-09	131	146
2020-04-10	120	140
2020-04-11	109	166
2020-04-12	91	141
2020-04-13	152	168
2020-04-14	107	286
2020-04-15	114	122
2020-04-16	88	218
2020-04-17	59	169
2020-04-18	84	219
2020-04-19	139	170
2020-04-20	76	259
2020-04-21	100	151
2020-04-22	73	150
2020-04-23	109	153
2020-04-24	155	153
2020-04-25	91	128
2020-04-26	92	157
2020-04-27	92	134
2020-04-28	84	132
2020-04-29	92	203
2020-04-30	91	134
2020-05-01	105	155
2020-05-02	169	173
2020-05-03	125	164
2020-05-04	112	165
2020-05-05	106	109
2020-05-06	143	139
2020-05-07	101	114
2020-05-08	76	98
2020-05-09	89	109
2020-05-10	113	137
2020-05-11	80	144
2020-05-12	130	147
2020-05-13	65	148
2020-05-14	180	143
2020-05-15	140	128
2020-05-16	175	120
2020-05-17	82	100
2020-05-18	150	108
2020-05-19	104	113
2020-05-20	64	114
2020-05-21	114	92
2020-05-22	78	108
2020-05-23	104	130
2020-05-24	49	129
2020-05-25	77	134
2020-05-26	74	159
2020-05-27	60	97
2020-05-28	102	108
2020-05-29	102	106
2020-05-30	77	83
2020-05-31	93	119
2020-06-01	137	119
2020-06-02	51	128
2020-06-03	67	116
2020-06-04	67	124
2020-06-05	67	111
2020-06-06	79	98
2020-06-07	65	92
2020-06-08	90	109
2020-06-09	82	126
2020-06-10	73	148
2020-06-11	65	111
2020-06-12	41	116
2020-06-13	57	83
2020-06-14	66	138
2020-06-15	37	97
2020-06-16	54	180
2020-06-17	58	177
2020-06-18	71	102
2020-06-19	82	128
2020-06-20	61	98
2020-06-21	86	104
2020-06-22	84	103
2020-06-23	67	118
2020-06-24	80	79
2020-06-25	61	107
2020-06-26	122	87
2020-06-27	72	73
2020-06-28	58	98
2020-06-29	78	97
2020-06-30	85	110
