date	unique_editors
2019-01-02	453
2019-01-03	469
2019-01-04	431
2019-01-05	461
2019-01-06	469
2019-01-07	474
2019-01-08	523
2019-01-09	502
2019-01-10	461
2019-01-11	471
2019-01-12	432
2019-01-13	472
2019-01-14	498
2019-01-15	501
2019-01-16	496
2019-01-17	522
2019-01-18	450
2019-01-19	417
2019-01-20	433
2019-01-21	491
2019-01-22	476
2019-01-23	513
2019-01-24	485
2019-01-25	436
2019-01-26	406
2019-01-27	450
2019-01-28	488
2019-01-29	457
2019-01-30	457
2019-01-31	442
2019-02-01	443
2019-02-02	400
2019-02-03	434
2019-02-04	499
2019-02-05	512
2019-02-06	513
2019-02-07	485
2019-02-08	497
2019-02-09	408
2019-02-10	453
2019-02-11	513
2019-02-12	541
2019-02-13	487
2019-02-14	486
2019-02-15	412
2019-02-16	367
2019-02-17	418
2019-02-18	489
2019-02-19	506
2019-02-20	517
2019-02-21	510
2019-02-22	440
2019-02-23	407
2019-02-24	476
2019-02-25	512
2019-02-26	539
2019-02-27	476
2019-02-28	489
2019-03-01	441
2019-03-02	437
2019-03-03	440
2019-03-04	496
2019-03-05	481
2019-03-06	518
2019-03-07	460
2019-03-08	470
2019-03-09	450
2019-03-10	497
2019-03-11	502
2019-03-12	531
2019-03-13	565
2019-03-14	498
2019-03-15	491
2019-03-16	421
2019-03-17	440
2019-03-18	549
2019-03-19	547
2019-03-20	561
2019-03-21	51
2019-03-22	432
2019-03-23	355
2019-03-24	475
2019-03-25	518
2019-03-26	540
2019-03-27	543
2019-03-28	532
2019-03-29	467
2019-03-30	407
2019-03-31	461
2019-04-01	509
2019-04-02	515
2019-04-03	464
2019-04-04	488
2019-04-05	438
2019-04-06	402
2019-04-07	425
2019-04-08	497
2019-04-09	523
2019-04-10	481
2019-04-11	491
2019-04-12	477
2019-04-13	393
2019-04-14	445
2019-04-15	555
2019-04-16	473
2019-04-17	447
2019-04-18	382
2019-04-19	314
2019-04-20	344
2019-04-21	375
2019-04-22	408
2019-04-23	549
2019-04-24	559
2019-04-25	483
2019-04-26	474
2019-04-27	382
2019-04-28	455
2019-04-29	541
2019-04-30	502
2019-05-01	472
2019-05-02	488
2019-05-03	424
2019-05-04	450
2019-05-05	500
