date	unique_editors_2019	unique_editors_2020
2020-01-02	453	513
2020-01-03	469	525
2020-01-04	431	475
2020-01-05	461	501
2020-01-06	469	586
2020-01-07	474	602
2020-01-08	523	564
2020-01-09	502	580
2020-01-10	461	490
2020-01-11	471	506
2020-01-12	432	540
2020-01-13	472	625
2020-01-14	498	590
2020-01-15	501	579
2020-01-16	496	566
2020-01-17	522	542
2020-01-18	450	477
2020-01-19	417	535
2020-01-20	433	684
2020-01-21	491	624
2020-01-22	476	600
2020-01-23	513	579
2020-01-24	485	542
2020-01-25	436	465
2020-01-26	406	420
2020-01-27	450	568
2020-01-28	488	565
2020-01-29	457	569
2020-01-30	457	551
2020-01-31	442	501
2020-02-01	443	462
2020-02-02	400	522
2020-02-03	434	594
2020-02-04	499	584
2020-02-05	512	556
2020-02-06	513	582
2020-02-07	485	512
2020-02-08	497	434
2020-02-09	408	466
2020-02-10	453	541
2020-02-11	513	544
2020-02-12	541	554
2020-02-13	487	596
2020-02-14	486	519
2020-02-15	412	476
2020-02-16	367	518
2020-02-17	418	565
2020-02-18	489	559
2020-02-19	506	569
2020-02-20	517	535
2020-02-21	510	516
2020-02-22	440	459
2020-02-23	407	488
2020-02-24	476	569
2020-02-25	512	569
2020-02-26	539	578
2020-02-27	476	508
2020-02-28	489	507
2020-03-01	441	472
2020-03-02	437	569
2020-03-03	440	609
2020-03-04	496	610
2020-03-05	481	550
2020-03-06	518	542
2020-03-07	460	444
2020-03-08	470	504
2020-03-09	450	610
2020-03-10	497	479
2020-03-11	502	509
2020-03-12	531	515
2020-03-13	565	525
2020-03-14	498	455
2020-03-15	491	482
2020-03-16	421	531
2020-03-17	440	598
2020-03-18	549	558
2020-03-19	547	587
2020-03-20	561	571
2020-03-21	51	575
2020-03-22	432	571
2020-03-23	355	632
2020-03-24	475	637
2020-03-25	518	687
2020-03-26	540	690
2020-03-27	543	617
2020-03-28	532	553
2020-03-29	467	579
2020-03-30	407	632
2020-03-31	461	689
2020-04-01	509	600
2020-04-02	515	609
2020-04-03	464	617
2020-04-04	488	510
2020-04-05	438	531
2020-04-06	402	593
2020-04-07	425	660
2020-04-08	497	607
2020-04-09	523	534
2020-04-10	481	454
2020-04-11	491	492
2020-04-12	477	482
2020-04-13	393	556
2020-04-14	445	628
2020-04-15	555	623
2020-04-16	473	614
2020-04-17	447	588
2020-04-18	382	454
2020-04-19	314	526
2020-04-20	344	633
2020-04-21	375	657
2020-04-22	408	614
2020-04-23	549	560
2020-04-24	559	548
2020-04-25	483	486
2020-04-26	474	488
2020-04-27	382	636
2020-04-28	455	611
2020-04-29	541	654
2020-04-30	502	571
2020-05-01	472	481
2020-05-02	488	490
2020-05-03	424	571
2020-05-04	450	581
2020-05-05	500	632
2020-05-06	503	642
2020-05-07	522	547
2020-05-08	483	477
2020-05-09	524	441
2020-05-10	502	513
2020-05-11	405	619
2020-05-12	474	672
2020-05-13	537	642
2020-05-14	566	593
2020-05-15	521	600
2020-05-16	531	420
2020-05-17	452	474
2020-05-18	362	541
2020-05-19	406	564
2020-05-20	556	610
2020-05-21	541	559
2020-05-22	526	565
2020-05-23	476	509
2020-05-24	404	519
2020-05-25	355	622
2020-05-26	497	633
2020-05-27	587	572
2020-05-28	579	602
2020-05-29	542	580
2020-05-30	498	467
2020-05-31	442	521
2020-06-01	355	557
2020-06-02	408	552
2020-06-03	518	568
2020-06-04	525	557
2020-06-05	492	552
2020-06-06	496	423
