date	2017	2018	2019	2020
2020-01-02	82	72	64	77
2020-01-03	76	65	69	80
2020-01-04	86	62	65	82
2020-01-05	76	70	62	77
2020-01-06	75	78	59	67
2020-01-07	84	77	57	77
2020-01-08	80	65	65	71
2020-01-09	69	71	64	79
2020-01-10	67	70	56	65
2020-01-11	79	56	60	76
2020-01-12	60	57	66	69
2020-01-13	82	53	56	83
2020-01-14	68	55	61	85
2020-01-15	70	69	69	82
2020-01-16	66	66	70	80
2020-01-17	70	64	69	77
2020-01-18	82	64	62	79
2020-01-19	57	55	59	73
2020-01-20	82	67	51	75
2020-01-21	71	64	67	81
2020-01-22	62	64	67	66
2020-01-23	73	45	73	76
2020-01-24	68	51	69	70
2020-01-25	80	64	69	78
2020-01-26	71	57	45	55
2020-01-27	72	55	61	83
2020-01-28	72	63	70	79
2020-01-29	71	58	75	71
2020-01-30	69	63	68	85
2020-01-31	70	74	69	89
2020-02-01	70	54	61	66
2020-02-02	69	55	71	84
2020-02-03	64	60	58	84
2020-02-04	70	75	53	103
2020-02-05	74	66	75	74
2020-02-06	70	69	75	80
2020-02-07	76	71	78	78
2020-02-08	73	71	79	66
2020-02-09	63	62	58	62
2020-02-10	71	67	68	81
2020-02-11	59	74	87	80
2020-02-12	74	71	84	82
2020-02-13	77	66	84	83
2020-02-14	69	76	72	67
2020-02-15	78	70	57	85
2020-02-16	68	64	73	91
2020-02-17	73	65	80	81
2020-02-18	67	70	73	77
2020-02-19	80	65	76	81
2020-02-20	64	61	87	81
2020-02-21	65	89	78	96
2020-02-22	89	50	56	69
2020-02-23	72	63	70	84
2020-02-24	54	72	69	77
2020-02-25	72	71	74	72
2020-02-26	66	50	101	87
2020-02-27	62	56	77	76
2020-02-28	85	77	73	78
2020-02-29	0	0	0	77
2020-03-01	71	51	64	61
2020-03-02	71	55	57	83
2020-03-03	53	53	57	83
2020-03-04	77	43	71	93
2020-03-05	74	70	68	85
2020-03-06	80	58	68	75
2020-03-07	52	66	65	70
2020-03-08	78	60	86	85
2020-03-09	64	59	73	91
2020-03-10	71	58	83	74
2020-03-11	61	62	82	77
2020-03-12	80	56	81	69
2020-03-13	60	68	92	72
2020-03-14	67	72	67	66
2020-03-15	66	50	80	75
2020-03-16	67	47	62	88
2020-03-17	65	66	71	89
2020-03-18	62	60	69	81
2020-03-19	68	77	68	84
2020-03-20	65	51	80	90
2020-03-21	54	55	5	95
2020-03-22	89	66	73	102
2020-03-23	91	54	53	104
2020-03-24	90	55	66	112
2020-03-25	61	65	69	119
2020-03-26	73	50	68	100
2020-03-27	68	57	64	102
2020-03-28	52	49	51	91
2020-03-29	80	45	62	106
2020-03-30	79	54	60	107
2020-03-31	68	48	66	101
2020-04-01	67	56	75	111
2020-04-02	51	55	53	98
2020-04-03	66	64	61	97
2020-04-04	77	58	47	86
2020-04-05	58	53	57	83
2020-04-06	64	63	45	97
2020-04-07	68	52	53	119
2020-04-08	64	51	67	97
2020-04-09	47	49	59	98
2020-04-10	66	60	65	85
2020-04-11	62	54	74	94
2020-04-12	58	66	67	95
2020-04-13	64	56	51	96
2020-04-14	56	39	66	109
2020-04-15	54	62	69	92
2020-04-16	59	65	62	94
2020-04-17	59	63	57	103
2020-04-18	66	48	56	96
2020-04-19	62	59	50	104
2020-04-20	71	54	51	107
2020-04-21	67	46	51	101
2020-04-22	55	60	43	103
2020-04-23	63	61	64	92
2020-04-24	65	53	64	86
2020-04-25	69	59	59	72
2020-04-26	77	52	64	86
2020-04-27	65	57	56	92
2020-04-28	55	39	49	92
2020-04-29	50	47	73	105
2020-04-30	59	56	66	102
2020-05-01	58	49	56	91
2020-05-02	57	46	71	89
2020-05-03	62	50	63	106
2020-05-04	56	47	71	103
2020-05-05	50	37	52	88
2020-05-06	53	39	54	92
2020-05-07	62	55	63	86
2020-05-08	81	45	65	72
2020-05-09	79	51	69	74
2020-05-10	77	57	62	87
2020-05-11	66	44	54	96
2020-05-12	70	53	69	100
2020-05-13	47	57	63	107
2020-05-14	64	53	71	95
2020-05-15	63	58	63	104
2020-05-16	85	63	56	67
2020-05-17	78	57	50	67
2020-05-18	72	41	46	79
2020-05-19	60	58	44	95
2020-05-20	60	64	53	83
2020-05-21	66	50	51	74
2020-05-22	86	59	65	91
2020-05-23	75	72	53	72
2020-05-24	74	51	42	93
2020-05-25	73	61	48	99
2020-05-26	60	46	59	88
2020-05-27	48	44	66	83
2020-05-28	62	58	65	90
2020-05-29	65	55	54	85
2020-05-30	58	53	73	77
2020-05-31	68	53	53	84
2020-06-01	55	46	57	99
2020-06-02	53	43	49	82
2020-06-03	49	51	51	73
2020-06-04	63	61	52	73
2020-06-05	81	61	43	85
2020-06-06	68	64	56	66
2020-06-07	74	57	52	76
2020-06-08	75	47	58	88
2020-06-09	70	39	52	92
2020-06-10	56	55	51	95
2020-06-11	65	60	50	80
2020-06-12	72	64	40	81
2020-06-13	68	62	46	71
2020-06-14	59	62	49	85
2020-06-15	60	50	37	78
2020-06-16	61	48	44	90
2020-06-17	69	54	65	84
2020-06-18	63	66	47	82
2020-06-19	65	52	57	77
2020-06-20	59	60	50	69
2020-06-21	62	59	57	71
2020-06-22	72	55	45	73
2020-06-23	68	47	52	71
2020-06-24	52	53	56	75
2020-06-25	63	65	45	70
2020-06-26	54	49	56	70
2020-06-27	65	55	50	52
2020-06-28	59	57	47	63
2020-06-29	62	46	45	81
2020-06-30	54	41	49	66
2020-07-01	52	52	56	63
2020-07-02	53	60	53	73
2020-07-03	60	58	52	62
2020-07-04	52	49	52	43
2020-07-05	51	46	54	48
2020-07-06	55	49	44	56
2020-07-07	43	42	46	63
2020-07-08	48	43	46	59
2020-07-09	57	51	45	64
2020-07-10	61	65	54	54
2020-07-11	63	60	47	57
2020-07-12	71	60	50	61
2020-07-13	54	50	52	65
2020-07-14	46	49	37	72
2020-07-15	54	45	48	55
2020-07-16	54	58	55	65
2020-07-17	66	47	56	71
2020-07-18	50	57	42	97
2020-07-19	52	55	38	60
2020-07-20	50	49	60	67
2020-07-21	54	50	47	67
2020-07-22	50	52	64	49
2020-07-23	50	45	52	55
2020-07-24	58	46	56	47
2020-07-25	56	52	58	48
2020-07-26	57	49	49	52
2020-07-27	65	53	48	59
2020-07-28	59	45	62	60
2020-07-29	48	37	64	62
