date	unique_page_creators_2019	unique_page_creators_2020
2020-01-02	88	106
2020-01-03	88	105
2020-01-04	85	104
2020-01-05	82	119
2020-01-06	75	110
2020-01-07	79	127
2020-01-08	89	113
2020-01-09	87	121
2020-01-10	82	91
2020-01-11	83	100
2020-01-12	83	97
2020-01-13	74	131
2020-01-14	79	126
2020-01-15	88	109
2020-01-16	86	121
2020-01-17	88	125
2020-01-18	82	108
2020-01-19	74	100
2020-01-20	69	118
2020-01-21	96	115
2020-01-22	92	121
2020-01-23	95	111
2020-01-24	98	105
2020-01-25	85	97
2020-01-26	65	78
2020-01-27	90	120
2020-01-28	98	121
2020-01-29	88	107
2020-01-30	89	123
2020-01-31	88	111
2020-02-01	76	91
2020-02-02	92	104
2020-02-03	83	122
2020-02-04	71	145
2020-02-05	110	110
2020-02-06	102	113
2020-02-07	106	112
2020-02-08	104	89
2020-02-09	79	99
2020-02-10	89	109
2020-02-11	105	128
2020-02-12	116	120
2020-02-13	109	120
2020-02-14	94	103
2020-02-15	77	115
2020-02-16	90	127
2020-02-17	103	114
2020-02-18	106	110
2020-02-19	110	112
2020-02-20	118	121
2020-02-21	93	129
2020-02-22	79	104
2020-02-23	84	110
2020-02-24	91	125
2020-02-25	92	113
2020-02-26	134	127
2020-02-27	101	112
2020-02-28	92	120
2020-03-01	88	91
2020-03-02	74	129
2020-03-03	84	117
2020-03-04	101	130
2020-03-05	91	138
2020-03-06	92	107
2020-03-07	85	96
2020-03-08	111	107
2020-03-09	92	133
2020-03-10	107	101
2020-03-11	108	105
2020-03-12	101	112
2020-03-13	117	93
2020-03-14	96	88
2020-03-15	103	94
2020-03-16	76	120
2020-03-17	86	125
2020-03-18	107	125
2020-03-19	93	124
2020-03-20	111	137
2020-03-21	6	134
2020-03-22	99	143
2020-03-23	70	143
2020-03-24	85	156
2020-03-25	96	167
2020-03-26	103	167
2020-03-27	93	132
2020-03-28	94	129
2020-03-29	84	142
2020-03-30	77	158
2020-03-31	83	152
2020-04-01	100	161
2020-04-02	68	147
2020-04-03	93	141
2020-04-04	77	118
2020-04-05	82	113
2020-04-06	63	137
2020-04-07	69	167
2020-04-08	100	139
2020-04-09	84	135
2020-04-10	91	110
2020-04-11	106	105
2020-04-12	92	116
2020-04-13	67	128
2020-04-14	74	156
2020-04-15	96	139
2020-04-16	86	130
2020-04-17	79	150
2020-04-18	66	121
2020-04-19	63	127
2020-04-20	66	164
2020-04-21	63	142
2020-04-22	57	139
2020-04-23	91	139
2020-04-24	106	127
2020-04-25	77	91
2020-04-26	84	116
2020-04-27	78	130
2020-04-28	72	131
2020-04-29	101	160
2020-04-30	89	145
2020-05-01	73	117
2020-05-02	98	116
2020-05-03	79	137
2020-05-04	93	157
2020-05-05	75	134
2020-05-06	80	136
2020-05-07	81	127
2020-05-08	86	93
2020-05-09	91	108
2020-05-10	89	128
2020-05-11	75	138
2020-05-12	89	150
2020-05-13	81	149
2020-05-14	101	134
2020-05-15	89	146
2020-05-16	83	85
2020-05-17	74	95
2020-05-18	64	126
2020-05-19	58	132
2020-05-20	79	134
2020-05-21	94	105
2020-05-22	92	127
2020-05-23	89	104
2020-05-24	72	123
2020-05-25	69	137
2020-05-26	81	130
2020-05-27	83	115
2020-05-28	102	138
2020-05-29	88	128
2020-05-30	108	111
2020-05-31	71	108
2020-06-01	71	139
2020-06-02	71	115
2020-06-03	83	107
2020-06-04	75	119
2020-06-05	64	122
2020-06-06	88	93
2020-06-07	77	103
2020-06-08	76	121
2020-06-09	80	119
2020-06-10	87	124
2020-06-11	84	109
2020-06-12	77	105
2020-06-13	83	90
2020-06-14	74	119
2020-06-15	56	110
2020-06-16	76	123
2020-06-17	95	105
2020-06-18	82	106
2020-06-19	86	110
2020-06-20	74	84
2020-06-21	84	89
2020-06-22	68	98
2020-06-23	68	96
2020-06-24	75	95
2020-06-25	62	90
2020-06-26	76	91
2020-06-27	72	68
2020-06-28	58	70
2020-06-29	58	103
2020-06-30	67	81
2020-07-01	73	88
2020-07-02	63	97
2020-07-03	76	86
2020-07-04	60	55
2020-07-05	62	64
2020-07-06	58	69
2020-07-07	63	78
2020-07-08	64	73
2020-07-09	61	83
2020-07-10	74	69
2020-07-11	70	76
2020-07-12	67	89
2020-07-13	69	79
2020-07-14	54	91
2020-07-15	58	67
2020-07-16	70	86
2020-07-17	69	95
2020-07-18	67	121
2020-07-19	51	76
2020-07-20	73	89
2020-07-21	70	92
2020-07-22	79	66
2020-07-23	70	79
2020-07-24	65	67
2020-07-25	70	60
2020-07-26	67	67
2020-07-27	68	75
2020-07-28	83	74
2020-07-29	85	82
2020-07-30	74	98
2020-07-31	77	70
2020-08-01	65	62
2020-08-02	71	65
2020-08-03	66	86
2020-08-04	79	84
2020-08-05	83	76
2020-08-06	76	77
2020-08-07	59	76
2020-08-08	74	58
2020-08-09	73	76
2020-08-10	65	69
2020-08-11	71	64
2020-08-12	83	74
2020-08-13	78	45
2020-08-14	60	56
2020-08-15	75	54
2020-08-16	68	69
2020-08-17	65	69
2020-08-18	65	82
2020-08-19	80	74
2020-08-20	76	67
2020-08-21	70	89
2020-08-22	80	75
2020-08-23	82	66
2020-08-24	62	68
2020-08-25	61	69
2020-08-26	86	77
2020-08-27	89	73
2020-08-28	78	71
2020-08-29	82	58
2020-08-30	87	82
2020-08-31	76	88
2020-09-01	65	78
2020-09-02	86	81
2020-09-03	73	69
2020-09-04	78	67
2020-09-05	80	70
2020-09-06	67	68
2020-09-07	71	79
2020-09-08	82	82
2020-09-09	90	67
2020-09-10	80	71
2020-09-11	75	79
2020-09-12	89	64
2020-09-13	74	68
2020-09-14	74	88
2020-09-15	66	88
2020-09-16	92	80
2020-09-17	71	74
2020-09-18	73	79
2020-09-19	93	65
2020-09-20	104	78
2020-09-21	86	75
2020-09-22	87	84
2020-09-23	113	96
2020-09-24	93	95
2020-09-25	98	92
2020-09-26	103	86
2020-09-27	99	79
2020-09-28	68	86
2020-09-29	93	90
2020-09-30	100	104
2020-10-01	89	92
2020-10-02	113	70
2020-10-03	107	65
2020-10-04	88	80
2020-10-05	88	101
2020-10-06	85	91
2020-10-07	118	99
2020-10-08	112	70
2020-10-09	105	89
2020-10-10	109	71
2020-10-11	89	75
2020-10-12	71	90
2020-10-13	90	86
2020-10-14	105	114
2020-10-15	105	100
2020-10-16	108	91
2020-10-17	83	83
2020-10-18	94	91
2020-10-19	83	98
2020-10-20	76	102
2020-10-21	109	88
2020-10-22	100	95
2020-10-23	98	103
2020-10-24	96	81
2020-10-25	98	95
2020-10-26	69	104
2020-10-27	63	108
2020-10-28	82	90
2020-10-29	71	91
2020-10-30	91	94
2020-10-31	118	74
2020-11-01	89	110
2020-11-02	101	141
2020-11-03	91	110
2020-11-04	112	124
2020-11-05	110	109
2020-11-06	120	90
2020-11-07	106	78
2020-11-08	103	82
2020-11-09	77	117
2020-11-10	89	125
2020-11-11	119	113
2020-11-12	128	112
2020-11-13	104	123
2020-11-14	100	98
2020-11-15	99	103
2020-11-16	87	116
2020-11-17	100	98
2020-11-18	121	119
2020-11-19	116	120
2020-11-20	115	103
2020-11-21	92	84
2020-11-22	132	111
2020-11-23	78	125
2020-11-24	94	122
2020-11-25	121	136
2020-11-26	124	134
2020-11-27	132	133
2020-11-28	106	123
2020-11-29	126	132
2020-11-30	95	121
2020-12-01	108	140
2020-12-02	136	150
2020-12-03	114	124
2020-12-04	104	107
2020-12-05	114	103
2020-12-06	85	95
2020-12-07	90	138
2020-12-08	97	118
2020-12-09	137	118
2020-12-10	119	119
2020-12-11	104	116
2020-12-12	108	110
2020-12-13	89	112
2020-12-14	84	107
2020-12-15	98	105
2020-12-16	126	99
2020-12-17	104	105
2020-12-18	110	92
2020-12-19	110	109
2020-12-20	87	94
2020-12-21	83	99
2020-12-22	89	79
2020-12-23	95	91
2020-12-24	44	61
2020-12-25	77	73
2020-12-26	77	69
2020-12-27	87	82
2020-12-28	95	96
2020-12-29	93	84
2020-12-30	99	100
